nombre,precio_actual,precio_original,descuento,valoracion,plataforma,fecha,enlace,precio_actual_num,precio_original_num,descuento_pct,fecha_extraccion,anio,mes,dia
"GlocalMe G4 Pro WiFi portátil, Móvil 4G LTE con 1GB de Datos globales, No SIM, Pantalla táctil de 5"", hasta 10 Dispositivos conectados, 2.4GHz/5GHz, Viajes internacionales a más de 200 países (Negro)","175,.99",,,"4,1 de 5 estrellas",Amazon,2026-04-22 10:39,https://www.amazon.es/sspa/click?ie=UTF8&spc=MTo3MTUxNTQ3ODA2NDU5MTc5OjE3NzY4NDcxODg6c3BfbXRmOjMwMDM5ODIyODY5NTgzMjo6MDo6&url=%2FGlocalMe-G4-Pro-inDisponible-territorios140%2Fdp%2FB0BR3XVQDG%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmCkgkjuI9UGFslP3Yt-RtQje5WxtFtoEB3IYud7QSqyed4J8yFgAArPfrJcyPst5I0cmTpjUGGkGtnzAqImbwz5oRZUYccnu8LrV_ODxRpMJT8n51PWwAE6IJ1Z1I35HMDo0vVk05gk-Pe3EExE44pVQTV8EaH78-GzWI5xsegzi7YQDADx-sYdLF57LOUrM459iBPXrO2k1Hn_d_wcW2g-T6LO-LLQyNCxV1LsNrn-kSjG9s30yxxMiJnyRepxAE9IkZ-jBU8WOHSXPi9uzaqI.qq3QoaL25wG7ekd8PHecPbceXW2Btc7GXsLOURCQEtA%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776847188%26sr%3D8-18-spons%26aref%3DJLstp5Hnwi%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=JLstp5Hnwi&sp_cr=ZAZ,175.99,,,2026-04-22 10:39:00,2026,4,22
"PINSTONE Ordenador Portátil de 14 Pulgadas Celeron N4000, Computadora Portátiles 6 GB RAM 128 GB SSD, PC Portátiles con 2,4 G/5 G WiFi, Bluetooth, Estudiantil Laptop Larga Vida útil de la Batería.","209,.00",,,"4,8 de 5 estrellas",Amazon,2026-04-22 10:39,https://www.amazon.es/PINSTONE-Ordenador-Computadora-Port%C3%A1tiles-Estudiantil/dp/B0FXWJTGH9/ref=sr_1_16?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmCkgkjuI9UGFslP3Yt-RtQje5WxtFtoEB3IYud7QSqyed4J8yFgAArPfrJcyPst5I0cmTpjUGGkGtnzAqImbwz5oRZUYccnu8LrV_ODxRpMJT8n51PWwAE6IJ1Z1I35HMDo0vVk05gk-Pe3EExE44pVQTV8EaH78-GzWI5xsegzi7YQDADx-sYdLF57LOUrM459iBPXrO2k1Hn_d_wcW2g-T6LO-LLQyNCxV1LsNrn-kSjG9s30yxxMiJnyRepxAE9IkZ-jBU8WOHSXPi9uzaqI.qq3QoaL25wG7ekd8PHecPbceXW2Btc7GXsLOURCQEtA&dib_tag=se&keywords=portatiles&qid=1776847188&sr=8-16,209.0,,,2026-04-22 10:39:00,2026,4,22
"Ordenador portátil 14 pulgadas Dual-Core hasta 2,6 GHz • 6 GB RAM • 128 GB SSD • UHD portatil • WiFi 5G • Mini-HDMI • Teclado membrana • Diseño sin ventilador • Color plateado • Ratón incluido","209,.99",,,"4,1 de 5 estrellas",Amazon,2026-04-22 10:39,https://www.amazon.es/Ordenador-port%C3%A1til-Dual-Core-Mini-HDMI-ventilador/dp/B0G3JBSTR6/ref=sr_1_4?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmCkgkjuI9UGFslP3Yt-RtQje5WxtFtoEB3IYud7QSqyed4J8yFgAArPfrJcyPst5I0cmTpjUGGkGtnzAqImbwz5oRZUYccnu8LrV_ODxRpMJT8n51PWwAE6IJ1Z1I35HMDo0vVk05gk-Pe3EExE44pVQTV8EaH78-GzWI5xsegzi7YQDADx-sYdLF57LOUrM459iBPXrO2k1Hn_d_wcW2g-T6LO-LLQyNCxV1LsNrn-kSjG9s30yxxMiJnyRepxAE9IkZ-jBU8WOHSXPi9uzaqI.qq3QoaL25wG7ekd8PHecPbceXW2Btc7GXsLOURCQEtA&dib_tag=se&keywords=portatiles&qid=1776847188&sr=8-4,209.99,,,2026-04-22 10:39:00,2026,4,22
"Tunhail Ordenador Portatil 15,6 Pulgadas, PC Portatil con Celeron N4000 hasta 2,6 GHz, 8GB DDR4 256GB SSD, Laptop Pantalla IPS FHD 1920 * 1080 Convertible 180°, WiFi 5, Mini HDMI","239,.99",,,"5,0 de 5 estrellas",Amazon,2026-04-22 10:39,https://www.amazon.es/Tunhail-Ordenador-Portatil-Pulgadas-Convertible/dp/B0GGB1YRBB/ref=sr_1_21?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmCkgkjuI9UGFslP3Yt-RtQje5WxtFtoEB3IYud7QSqyed4J8yFgAArPfrJcyPst5I0cmTpjUGGkGtnzAqImbwz5oRZUYccnu8LrV_ODxRpMJT8n51PWwAE6IJ1Z1I35HMDo0vVk05gk-Pe3EExE44pVQTV8EaH78-GzWI5xsegzi7YQDADx-sYdLF57LOUrM459iBPXrO2k1Hn_d_wcW2g-T6LO-LLQyNCxV1LsNrn-kSjG9s30yxxMiJnyRepxAE9IkZ-jBU8WOHSXPi9uzaqI.qq3QoaL25wG7ekd8PHecPbceXW2Btc7GXsLOURCQEtA&dib_tag=se&keywords=portatiles&qid=1776847188&sr=8-21,239.99,,,2026-04-22 10:39:00,2026,4,22
"ASUS Chromebook CX1505CTA - Ordenador Portátil 15.6"" Full HD (Intel N50, 4GB RAM, 128GB eMMC, ChromeOS) QWERTY Funda y ratón incluidos +3 Meses de Google AI Pro con Gemini Pro y 2TB de Almacenamiento","259,.00",,,"4,2 de 5 estrellas",Amazon,2026-04-22 10:39,https://www.amazon.es/ASUS-Chromebook-CX1505CTA-Ordenador-Almacenamiento/dp/B0FWCLTWP2/ref=sr_1_7?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmCkgkjuI9UGFslP3Yt-RtQje5WxtFtoEB3IYud7QSqyed4J8yFgAArPfrJcyPst5I0cmTpjUGGkGtnzAqImbwz5oRZUYccnu8LrV_ODxRpMJT8n51PWwAE6IJ1Z1I35HMDo0vVk05gk-Pe3EExE44pVQTV8EaH78-GzWI5xsegzi7YQDADx-sYdLF57LOUrM459iBPXrO2k1Hn_d_wcW2g-T6LO-LLQyNCxV1LsNrn-kSjG9s30yxxMiJnyRepxAE9IkZ-jBU8WOHSXPi9uzaqI.qq3QoaL25wG7ekd8PHecPbceXW2Btc7GXsLOURCQEtA&dib_tag=se&keywords=portatiles&qid=1776847188&sr=8-7,259.0,,,2026-04-22 10:39:00,2026,4,22
"BMAX Ordenador Portátil 15.6"" FHD Celeron N95 Upto 3,4 GHz Portatiles 12GB RAM 512GB SSD LPDDR5 Laptop, Win 11 PC Portátil 5G WiFi Notebook BT5.0, USB 3.2x2, Protege el Teclado Español","259,.99","289,99 €",,"4,6 de 5 estrellas",Amazon,2026-04-22 10:39,https://www.amazon.es/BMAX-Ordenador-Port%C3%A1til-Portatiles-12GB/dp/B0GL8MWC5G/ref=sr_1_8?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmCkgkjuI9UGFslP3Yt-RtQje5WxtFtoEB3IYud7QSqyed4J8yFgAArPfrJcyPst5I0cmTpjUGGkGtnzAqImbwz5oRZUYccnu8LrV_ODxRpMJT8n51PWwAE6IJ1Z1I35HMDo0vVk05gk-Pe3EExE44pVQTV8EaH78-GzWI5xsegzi7YQDADx-sYdLF57LOUrM459iBPXrO2k1Hn_d_wcW2g-T6LO-LLQyNCxV1LsNrn-kSjG9s30yxxMiJnyRepxAE9IkZ-jBU8WOHSXPi9uzaqI.qq3QoaL25wG7ekd8PHecPbceXW2Btc7GXsLOURCQEtA&dib_tag=se&keywords=portatiles&qid=1776847188&sr=8-8,259.99,289.99,10.35,2026-04-22 10:39:00,2026,4,22
"FUNYET Nuevo Ordenador Portátil 15.6” RAM 16GB SSD 256GB Soporta TF 1TB Win11 Pro 1920x1080 FHD (Procesador 2 Cores 4425Y), Portatil con WIFI5, BT4.2, USB3.0x2, HDMI para Estudiantes y Oficina","265,.99","279,99 €",,"4,6 de 5 estrellas",Amazon,2026-04-22 10:39,https://www.amazon.es/sspa/click?ie=UTF8&spc=MTo3MTUxNTQ3ODA2NDU5MTc5OjE3NzY4NDcxODg6c3BfbXRmOjMwMTAxMzc4NzQ2NDkzMjo6MDo6&url=%2FFUNYET-Ordenador-1920x1080-Procesador-Estudiantes%2Fdp%2FB0GQZ8CNNW%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmCkgkjuI9UGFslP3Yt-RtQje5WxtFtoEB3IYud7QSqyed4J8yFgAArPfrJcyPst5I0cmTpjUGGkGtnzAqImbwz5oRZUYccnu8LrV_ODxRpMJT8n51PWwAE6IJ1Z1I35HMDo0vVk05gk-Pe3EExE44pVQTV8EaH78-GzWI5xsegzi7YQDADx-sYdLF57LOUrM459iBPXrO2k1Hn_d_wcW2g-T6LO-LLQyNCxV1LsNrn-kSjG9s30yxxMiJnyRepxAE9IkZ-jBU8WOHSXPi9uzaqI.qq3QoaL25wG7ekd8PHecPbceXW2Btc7GXsLOURCQEtA%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776847188%26sr%3D8-17-spons%26aref%3DqTYzE4xcLu%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=qTYzE4xcLu&sp_cr=ZAZ,265.99,279.99,5.0,2026-04-22 10:39:00,2026,4,22
"FUNYET 2026 Ordenador Portátil 15.6” RAM 16GB SSD 512GB Soporta TF 1TB Win11 Pro 1920x1080 FHD (Procesador 2 Cores 4425Y), Portatil con WIFI5, BT4.2, USB3.0, HDMI, Type-C para Estudiantes y Oficina","297,.82","313,49 €",,,Amazon,2026-04-22 10:39,https://www.amazon.es/sspa/click?ie=UTF8&spc=MTo3MTUxNTQ3ODA2NDU5MTc5OjE3NzY4NDcxODg6c3BfYXRmOjMwMDk5MzM4NDk3MTIzMjo6MDo6&url=%2FFUNYET-Ordenador-1920x1080-Procesador-Estudiantes%2Fdp%2FB0GQM4DQZL%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmCkgkjuI9UGFslP3Yt-RtQje5WxtFtoEB3IYud7QSqyed4J8yFgAArPfrJcyPst5I0cmTpjUGGkGtnzAqImbwz5oRZUYccnu8LrV_ODxRpMJT8n51PWwAE6IJ1Z1I35HMDo0vVk05gk-Pe3EExE44pVQTV8EaH78-GzWI5xsegzi7YQDADx-sYdLF57LOUrM459iBPXrO2k1Hn_d_wcW2g-T6LO-LLQyNCxV1LsNrn-kSjG9s30yxxMiJnyRepxAE9IkZ-jBU8WOHSXPi9uzaqI.qq3QoaL25wG7ekd8PHecPbceXW2Btc7GXsLOURCQEtA%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776847188%26sr%3D8-3-spons%26aref%3DJN7yxu3Kpg%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=JN7yxu3Kpg&sp_cr=ZAZ,297.82,313.49,5.0,2026-04-22 10:39:00,2026,4,22
"HP 15-fd0261ns - Ordenador portátil de 15.6"" FHD (Intel N100, 4GB RAM, 128GB UFS, Intel UHD, Windows 11) Plata - Teclado QWERTY Español - Incluye Microsoft 365 Personal 12 Meses","299,.00","349,00 €",,"4,2 de 5 estrellas",Amazon,2026-04-22 10:39,https://www.amazon.es/HP-15-fd0261ns-Ordenador-port%C3%A1til-Microsoft/dp/B0FCG24X9S/ref=sr_1_5?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmCkgkjuI9UGFslP3Yt-RtQje5WxtFtoEB3IYud7QSqyed4J8yFgAArPfrJcyPst5I0cmTpjUGGkGtnzAqImbwz5oRZUYccnu8LrV_ODxRpMJT8n51PWwAE6IJ1Z1I35HMDo0vVk05gk-Pe3EExE44pVQTV8EaH78-GzWI5xsegzi7YQDADx-sYdLF57LOUrM459iBPXrO2k1Hn_d_wcW2g-T6LO-LLQyNCxV1LsNrn-kSjG9s30yxxMiJnyRepxAE9IkZ-jBU8WOHSXPi9uzaqI.qq3QoaL25wG7ekd8PHecPbceXW2Btc7GXsLOURCQEtA&dib_tag=se&keywords=portatiles&qid=1776847188&sr=8-5,299.0,349.0,14.33,2026-04-22 10:39:00,2026,4,22
"FUNYET Nuevo Ordenador Portátil i5-7Y54 Procesador 2 Cores hasta 3,2GHz 15.6 Pulgadas Gaming Laptop 16GB RAM 512GB SSD IPS 1920×1080 Win11 Pro Portatil con WiFi5, BT5.0, USB3.0, Teclado Retroiluminado","299,.99","359,99 €",,"4,3 de 5 estrellas",Amazon,2026-04-22 10:39,https://www.amazon.es/sspa/click?ie=UTF8&spc=MTo3MTUxNTQ3ODA2NDU5MTc5OjE3NzY4NDcxODg6c3BfYXRmOjMwMDk2MDQ0ODc4NzIzMjo6MDo6&url=%2FFUNYET-Ordenador-Procesador-1920%25C3%25971080-Retroiluminado%2Fdp%2FB0GL1SZBBM%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmCkgkjuI9UGFslP3Yt-RtQje5WxtFtoEB3IYud7QSqyed4J8yFgAArPfrJcyPst5I0cmTpjUGGkGtnzAqImbwz5oRZUYccnu8LrV_ODxRpMJT8n51PWwAE6IJ1Z1I35HMDo0vVk05gk-Pe3EExE44pVQTV8EaH78-GzWI5xsegzi7YQDADx-sYdLF57LOUrM459iBPXrO2k1Hn_d_wcW2g-T6LO-LLQyNCxV1LsNrn-kSjG9s30yxxMiJnyRepxAE9IkZ-jBU8WOHSXPi9uzaqI.qq3QoaL25wG7ekd8PHecPbceXW2Btc7GXsLOURCQEtA%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776847188%26sr%3D8-2-spons%26aref%3Dt6Fhfvz9ru%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=t6Fhfvz9ru&sp_cr=ZAZ,299.99,359.99,16.67,2026-04-22 10:39:00,2026,4,22
