nombre,precio_actual,precio_original,descuento,valoracion,plataforma,fecha,enlace,precio_actual_num,precio_original_num,descuento_pct,fecha_extraccion,anio,mes,dia
"Ordenador Portátil 16 Pulgadas, Core i5-8210Y CPU, Win11 Pro PC Portátil 16GB RAM 512GB SSD, Clavier Rétroéclairé, 1080P FHD Pantalla Laptop, (Mini-HDMI+USB3.0+Type-C+Webcan+WIFI5+5800mah Battery)","369,.99",,,"4,9 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/Ordenador-Port%C3%A1til-Core-R%C3%A9tro%C3%A9clair%C3%A9-Mini-HDMI/dp/B0FXG5G3F7/ref=sr_1_22?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-22,369.99,,,2026-04-21 17:37:00,2026,4,21
"15,6 Pulgadas Ordenador Portáti, Win 11 PC Portátil 16GB RAM 1TB SSD, Laptop Celeron N5100 Gráficos UHD, Computadora Portatil 1920*1080 FHD Pantalla Teclado numérico retroiluminado/Touch ID USB 3.0","379,.99",,,"5,0 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/sspa/click?ie=UTF8&spc=MToyOTQwOTIxODIwMTY1NTE1OjE3NzY3ODU4Njg6c3BfbXRmOjMwMDk4NjQwODE2NTEzMjo6MDo6&url=%2FOrdenador-Celeron-N5100-Computadora-retroiluminado%2Fdp%2FB0GR5FYPL8%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776785868%26sr%3D8-18-spons%26aref%3Dq1mR52XH1d%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=q1mR52XH1d&sp_cr=ZAZ,379.99,,,2026-04-21 17:37:00,2026,4,21
"HP 15-fd0374ns - Ordenador portátil de 15.6"" FHD (Intel N100, 8GB RAM, 256GB SSD, Intel UHD, Windows 11) Plata - Teclado QWERTY Español","449,.00",,,"4,6 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/HP-15-fd0374ns-Ordenador-port%C3%A1til-Windows/dp/B0FCG227SW/ref=sr_1_16?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-16,449.0,,,2026-04-21 17:37:00,2026,4,21
"Lenovo IdeaPad Slim 3 Gen 8 – Ordenador Portátil 15.6'' FHD (Intel Core i3-N305, Intel UHD Graphics, 8 GB RAM, 256 GB SSD, Wi-Fi 6, Win 11 Home, Office Trial) Teclado QWERTY Español - Azul Abismo","449,.00","479,00 €",,"4,4 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/Lenovo-IdeaPad-Slim-Gen-Ordenador/dp/B0FVYGKQ8Z/ref=sr_1_24?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-24,449.0,479.0,6.26,2026-04-21 17:37:00,2026,4,21
"Ordenador portátil |Portátiles 15,6"" Full HD | PC Ultra Delgado | Procesador 3050e Dual Core | 16 GB RAM | SSD 512 GB Ultra Rápido | Teclado Retroiluminado | Ideal para Oficina/Estudios | Plata","450,.00","1.000,00 €",,"5,0 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/sspa/click?ie=UTF8&spc=MToyOTQwOTIxODIwMTY1NTE1OjE3NzY3ODU4Njg6c3BfYXRmOjMwMTA0ODA5MTA1MzYzMjo6MDo6&url=%2FOrdenador-port%25C3%25A1til-Port%25C3%25A1tiles-Procesador-Retroiluminado%2Fdp%2FB0GSPV2BG6%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776785868%26sr%3D8-1-spons%26aref%3DcuZsGJyHGJ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=cuZsGJyHGJ&sp_cr=ZAZ,450.0,1000.0,55.0,2026-04-21 17:37:00,2026,4,21
"HP - Ordenador portátil de 15.6"" FHD (AMD Ryzen 5-7520U, 16 GB RAM, 1TB SSD, AMD Radeon Graphics, Sin Sistema operativo) Plata y Azul - Teclado QWERTY Español","499,.00","549,00 €",,"3,8 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/HP-Ordenador-port%C3%A1til-Graphics-operativo/dp/B0FCG2VS1T/ref=sr_1_12?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-12,499.0,549.0,9.11,2026-04-21 17:37:00,2026,4,21
"acer Aspire Go 15 AG15-42P, Ordenador Portátil 15.6"" Full HD (AMD Ryzen 5 5625U, 16 GB RAM, 512 GB SSD, AMD Radeon Graphics, Windows 11 Home), Plata, Teclado QWERTY Español","499,.00","549,00 €",,"5,0 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/acer-AG15-42P-Ordenador-Port%C3%A1til-Graphics/dp/B0F454GC8S/ref=sr_1_13?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-13,499.0,549.0,9.11,2026-04-21 17:37:00,2026,4,21
"ASUS Vivobook Go 15 E1504FA - Ordenador Portátil 15.6inch Full HD (Windows 11 home, AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, Radeon 610M) Plata fría - teclado QWERTY Español","543,.93",,,"2,9 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/ASUS-Vivobook-OLED-E1504FA-BQ2451W-Ordenador/dp/B0BSLBCBZF/ref=sr_1_23?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-23,543.93,,,2026-04-21 17:37:00,2026,4,21
"HP 15-fd0376ns- Ordenador portátil de 15.6"" FHD (Intel Core i5-1334U, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11) Plata - Teclado QWERTY Español","579,.00","649,00 €",,"4,0 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/HP-15-fd0376ns-Ordenador-port%C3%A1til-i5-1334U/dp/B0FCG2NCWW/ref=sr_1_20?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-20,579.0,649.0,10.79,2026-04-21 17:37:00,2026,4,21
"Lenovo IdeaPad Slim 3 Gen 10 – Ordenador Portátil 15.3"" WUXGA (Intel Core i5-13420H, 16 GB RAM, 512 GB SSD, Gráficos Intel UHD, Wi-Fi 6, Windows 11 Home) Teclado QWERTY Español - Gris Luna","599,.00","679,00 €",,"4,7 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/Lenovo-IdeaPad-Slim-Gen-Ordenador/dp/B0GL38BFBK/ref=sr_1_11?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-11,599.0,679.0,11.78,2026-04-21 17:37:00,2026,4,21
