producto,marca,precio_eur,precio_inr,cpu,ram_gb,almacenamiento_gb,gpu,tamanio_pantalla,sistema_operativo,warranty,spec_rating
Yoga 7 82YL0060IN Laptop,Lenovo,1337.88,111490,TH GEN INTEL CORE I7 1360P,16,512,INTEGRATED INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,76.0
250 G9 7N179PA Laptop,HP,611.88,50990,TH GEN INTEL CORE I5 1235U,8,512,INTEL IRIS XE GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
Thinkpad E15 21E6S07S00 Laptop,Lenovo,1074.0,89500,TH GEN INTEL CORE I5 1235U,16,512,INTEL IRIS XE GRAPHICS,15.6,Windows 11 OS,1,64.0
Ideapad Slim 5 82XE004QIN Laptop,Lenovo,796.66,66388,TH GEN AMD RYZEN 5 7530U,16,512,AMD RADEON GRAPHICS,14.0,Windows 11 OS,1,62.0
Vivobook Pro 15 M6500QC-HN551WS Laptop,Asus,803.88,66990,TH GEN AMD RYZEN 5 5600HS,16,1024,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,1,63.0
Vivobook Pro 15 M6500QC-HN751WS Laptop,Asus,899.88,74990,TH GEN AMD RYZEN 7 5800HS,16,1024,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,1,64.0
255 G9 841W6PA Laptop,HP,323.88,26990,RD GEN AMD RYZEN 3 3250U,8,512,AMD RADEON GRAPHICS,15.6,DOS 3.0 OS,1,69.32352941176471
15 Inspiron 3530 Laptop,Dell,791.88,65990,TH GEN INTEL CORE I5 1335U,8,1024,INTEL INTEGRATED UHD,15.6,Windows 11 OS,1,69.32352941176471
Vivobook 16X 2023 K3605ZC-MBN752WS Laptop,Asus,1055.88,87990,TH GEN INTEL CORE I7 12650H,16,1024,NVIDIA GEFORCE RTX 3050,16.0,Windows 11 OS,1,73.0
Inspiron 3520 IN3520KTMFJS1ORGR1 Laptop,Dell,437.76,36480,TH GEN INTEL CORE I3 1115G4,8,512,INTEL UHD GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
Inspiron 3530 IN3530RW8JY001ORS1 Laptop,Dell,767.87,63989,TH GEN INTEL CORE I5 1335U,8,1024,INTEL INTEGRATED INTEGRATED INTEL® UHD GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
TUF Gaming F15 90NR0GW1-M00F00 Laptop,Asus,1091.88,90990,TH GEN INTEL CORE I7 12700H,16,1024,NVIDIA GEFORCE RTX 3050,15.6,Windows 11  OS,1,64.0
Vivobook 16X 2023 K3605ZV-MBN741WS Laptop,Asus,1259.88,104990,TH GEN INTEL CORE I7 12650H,16,512,NVIDIA GEFORCE RTX,16.0,Windows 11 OS,1,72.0
240 G9 ALC 7M658PA Laptop,HP,777.6,64800,TH GEN INTEL CORE I5 1235U,8,512,INTEL INTEGRATED,14.0,DOS OS,1,69.32352941176471
Chromebook CX1400FKA-EC0158 Laptop,Asus,335.88,27990,INTEL CELERON N4500,4,64,INTEL INTEGRATED UHD,14.0,Chrome OS,1,69.32352941176471
Chromebook CX1400CKA-EK0335 Laptop,Asus,179.88,14990,INTEL CELERON N4500,4,128,INTEL INTEGRATED UHD,14.0,Chrome OS,1,69.32352941176471
Chromebook CX1500CKA-EJ0241 Laptop,Asus,275.88,22990,INTEL CELERON N4500,4,64,INTEL INTEGRATED UHD,15.6,Chrome OS,1,69.32352941176471
Chromebook CX1500CKA-EJ0277 Laptop,Asus,287.88,23990,INTEL CELERON N4500,4,128,INTEL INTEGRATED UHD,15.6,Chrome OS,1,69.32352941176471
250 G9 7M659PA Laptop,HP,514.8,42900,TH GEN INTEL CORE I3 1215U,8,512,INTEL INTEGRATED,15.6,Windows 11 OS,1,62.0
G6 KF Gaming Laptop,Gigabyte,1560.0,130000,TH GEN INTEL CORE I7 13620H,16,512,NVIDIA GEFORCE RTX 4060,16.0,Windows 11 OS,0,71.0
G5 KF-E3IN313SH Laptop,Gigabyte,1139.88,94990,TH GEN INTEL CORE I5 12500H,8,512,NVIDIA GEFORCE RTX 4060,15.6,Windows 11 OS,2,73.0
ThinkBook 15 G3 ACL 21A4003KUS Laptop,Lenovo,695.88,57990,TH GEN AMD RYZEN 7 5700U,16,512,AMD RADEON AMD,15.6,Windows 11 OS,1,60.0
Vivobook 16X K3605ZU-MBN742WS Laptop,Asus,1250.66,104222,TH GEN INTEL CORE I7 12650H,16,512,NVIDIA GEFORCE RTX 4050,16.0,Windows 11 OS,1,72.0
UH-X ‎4ZR1M37246 Laptop,Fujitsu,839.88,69990,TH GEN INTEL CORE I5 1335U,16,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,2,65.0
IdeaPad Slim 5 82XE0072IN Laptop,Lenovo,767.88,63990,TH GEN AMD RYZEN 7 7730U,16,512,AMD INTEGRATED SOC,14.0,Windows 11 OS,1,69.0
IdeaPad Slim 3 82XQ008UIN Laptop,Lenovo,587.88,48990,TH GEN AMD RYZEN 5 7520U,8,512,AMD RADEON 610M GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
V15 G3 IAP 82TT004VIH Laptop,Lenovo,563.88,46990,TH GEN INTEL CORE I5 1235U,8,512,INTEL INTEGRATED UHD,15.6,DOS OS,1,69.32352941176471
Victus 15-fb1015AX Gaming Laptop,HP,671.88,55990,TH GEN AMD RYZEN 5 7535HS,8,512,NVIDIA GEFORCE RTX 2050,15.6,Windows 11 OS,1,69.0
Vivobook 16X K3605ZC-MBN542WS Laptop,Asus,803.88,66990,TH GEN INTEL CORE I5 12450H,16,512,NVIDIA GEFORCE RTX 3050,16.0,Windows 11 OS,1,65.0
Vivobook 16X K3605ZU-MBN541WS Laptop,Asus,1079.88,89990,TH GEN INTEL CORE I5 12450H,16,512,NVIDIA GEFORCE RTX 4050,16.0,Windows 11 OS,1,70.0
Thin GF63 11UC-1291IN Gaming Laptop,MSI,755.88,62990,TH GEN INTEL CORE I5 11400H,16,512,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,2,71.0
Katana 15 B12UDXK-1004IN Gaming Laptop,MSI,1031.88,85990,TH GEN INTEL CORE I7 12650H,16,512,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,2,76.0
Thinkpad E15 21E6S0W700 Laptop,Lenovo,565.2,47100,TH GEN INTEL CORE I3 1215U,8,512,INTEL UHD GRAPHICS,15.6,Windows 11 OS,1,65.0
Yoga 7 82YM004UIN Laptop,Lenovo,1103.88,91990,TH GEN AMD RYZEN 7 7735U,16,512,AMD RADEON GRAPHICS,14.0,Windows 11 OS,1,76.0
Vivobook Pro 15 OLED M6500QC-LK541WS Laptop,Asus,815.88,67990,TH GEN AMD RYZEN 5 5600H,16,512,NVIDIA GEFORCE RTX 3050 GPU,15.6,Windows 11 OS,1,62.0
TMP214-41-G3 UN.VSQSI.007 Notebook,Acer,479.88,39990,TH GEN AMD RYZEN 5 5500U,16,512,AMD RADEON AMD,14.0,Windows 11 OS,1,63.0
TMP214-41-G3 UN.VSQSI.006 Notebook,Acer,443.88,36990,TH GEN AMD RYZEN 5 5500U,8,512,AMD RADEON AMD,14.0,Windows 11 OS,1,60.0
Vivobook Go 14 2023 E1404FA-NK327WS Laptop,Asus,407.88,33990,TH GEN AMD RYZEN 3 7320U,8,512,AMD RADEON AMD,14.0,Windows 11 OS,1,69.32352941176471
V14 82KAA055IH Laptop,Lenovo,525.6,43800,TH GEN INTEL CORE I5 1135G7,8,512,INTEL UHD GRAPHICS,14.0,DOS OS,1,69.32352941176471
