producto,marca,precio_eur,precio_inr,cpu,ram_gb,almacenamiento_gb,gpu,tamanio_pantalla,sistema_operativo,warranty,spec_rating
Alienware m16 2023 Gaming Laptop,Dell,2399.88,199990,TH GEN AMD RYZEN 7 7745HX,16,1024,NVIDIA GEFORCE RTX 4060,16.0,Windows 11 OS,1,80.0
Aero 16 XE5 OLED Laptop,Gigabyte,2279.99,189999,TH GEN INTEL CORE I7 12700H,16,1024,NVIDIA GEFORCE RTX 3070TI,16.0,Windows 11  OS,2,77.0
Yoga 6 83B2005TIN Laptop,Lenovo,887.88,73990,TH GEN AMD RYZEN 5 7530U,16,512,AMD RADEON,13.3,Windows 11 OS,3,69.0
Vivobook Pro 15 M6500QC-LK542WS Laptop,Asus,815.88,67990,TH GEN AMD RYZEN 5 5600H,16,512,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,1,70.0
ROG Zephyrus G16 2023 GU603ZU-N3023WS Laptop,Asus,1715.88,142990,TH GEN INTEL CORE I7 12700H,16,1024,NVIDIA GEFORCE RTX 4050,16.0,Windows 11 OS,1,82.0
IdeaPad Flex 5 82R900D9IN Laptop,Lenovo,779.88,64990,TH GEN AMD RYZEN 7 5700U,16,512,AMD RADEON,14.0,Windows 11 OS,1,72.0
Vivobook 16X 2023 K3605ZF-MBN741WS Laptop,Asus,1017.6,84800,TH GEN INTEL CORE I7 12650H,16,512,NVIDIA GEFORCE RTX 2050,16.0,Windows 11 OS,1,75.0
IdeaPad Flex 5 82XX007KIN Laptop,Lenovo,779.88,64990,TH GEN AMD RYZEN 5 7530U,16,512,AMD RADEON AMD,14.0,Windows 11 OS,1,69.0
Nitro 16 ‎AN16-41 Gaming Laptop,Acer,1559.88,129990,TH GEN AMD RYZEN 7 7840HS,16,512,NVIDIA GEFORCE RTX 4060,16.0,Windows 11 OS,1,80.0
Nitro 16 ‎AN16-41 2023 Gaming Laptop,Acer,1379.88,114990,TH GEN AMD RYZEN 7 7840HS,8,512,NVIDIA GEFORCE RTX 4060,16.0,Windows 11 OS,1,78.0
Aspire 5 2023 A515-58M Gaming Laptop,Acer,960.0,80000,TH GEN INTEL CORE I7 1355U,8,512,NVIDIA GEFORCE RTX2050,15.6,Windows 11 OS,1,69.32352941176471
Aspire 5 15 A515-58M Gaming Laptop,Acer,659.88,54990,TH GEN INTEL CORE I5 1335U,16,512,NVIDIA GEFORCE RTX2050,15.6,Windows 11 OS,1,60.0
Gram 14 2023 ‎‎14Z90R-G.CH54A2 Laptop,LG,1187.99,98999,TH GEN INTEL CORE I5 1340P,16,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,67.0
Latitude 5420 Business Laptop,Dell,839.88,69990,TH GEN INTEL CORE I5 10310U,8,512,INTEL UHD GRAPHICS,14.0,Windows 10  OS,1,62.0
Vivobook Pro 15 M6500QC-LK742WS Laptop,Asus,923.88,76990,TH GEN AMD RYZEN 7 5800H,16,512,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,1,72.0
UH-X ‎4ZR1L12857 Laptop,Fujitsu,899.88,74990,TH GEN INTEL CORE I5 1335U,16,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,2,66.0
UH-X ‎4ZR1L12856 Laptop,Fujitsu,1079.88,89990,TH GEN INTEL CORE I7 1360P,16,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,2,73.0
15s-fq3073TU Laptop Intel Pentium Silver N6000/ 8GB/ 512GB SSD/ Win11 Home),HP,359.99,29999,INTEL PENTIUM SILVER N6000,8,512,INTEL INTEGRATED UHD GRAPHICS,15.6,Windows 11  OS,1,69.32352941176471
ZBook Firefly 16 G9 2023 Workstation Laptop,HP,1172.46,97705,TH GEN INTEL CORE I5 1235U,16,512,NVIDIA RTX A500,16.0,Windows 11 OS,1,67.0
ZBook Studio G9 16 Workstation WQUXGA Laptop,HP,2888.48,240707,TH GEN INTEL CORE I9 12900H,32,1024,NVIDIA GEFORCE RTX 3060,16.0,Windows 11 OS,1,89.0
ZBook Studio G9 WUXGA Workstation Laptop,HP,2819.88,234990,TH GEN INTEL CORE I7 12700H,16,1024,NVIDIA GEFORCE RTX 3070 TI,16.0,Windows 11 OS,1,83.0
ZBook Studio G9 16 WUXGA Workstation Laptop,HP,2519.88,209990,TH GEN INTEL CORE I7 12700H,16,1024,NVIDIA GEFORCE RTX 3060,16.0,Windows 11 OS,1,80.0
ZBook Studio G9 2023 Workstation WQUXGA Laptop,HP,4690.97,390914,TH GEN INTEL CORE I9 12900H,32,1024,NVIDIA GEFORCE RTX 3080 TI,16.0,Windows 11 OS,1,69.32352941176471
ZBook Studio G9 Workstation WQUXGA Laptop,HP,2071.06,172588,TH GEN INTEL CORE I7 12700H,16,1024,NVIDIA GEFORCE RTX 3060,16.0,Windows 11 OS,1,84.0
ZBook Studio G9 Workstation Laptop,HP,3055.88,254657,TH GEN INTEL CORE I7 12700H,16,1024,NVIDIA GEFORCE RTX 3070 TI,16.0,Windows 11 OS,1,86.0
gram360 16 Laptop,LG,1829.99,152499,TH GEN INTEL CORE I7 1360P,16,1024,INTEL IRIS XE GRAPHICS,16.0,Windows 11 OS,1,78.0
IdeaPad 1 82V6005CIN Laptop,Lenovo,287.88,23990,INTEL CELERON N4020,4,256,INTEL UHD GRAPHICS 600,11.6,Windows 11 OS,1,69.32352941176471
ROG Zephyrus G14 GA402NJ-L8094WS Gaming Laptop,Asus,1439.88,119990,TH GEN AMD RYZEN 7 7735HS,16,512,NVIDIA GEFORCE RTX 3050,14.0,Windows 11 OS,1,71.0
UltraPC 16 ‎16U70R-G.AH56A2 Laptop,LG,939.59,78299,TH GEN AMD RYZEN 5 7530U,16,512,AMD RADEON 7 GRAPHICS,16.0,Windows 11 OS,1,72.0
Gram 14 2023 ‎14Z90R-G.CH75A2 Laptop,LG,1391.88,115990,TH GEN INTEL CORE I7 1360P,16,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,69.0
Vivobook 15 2023 X1504VA-NJ544WS Laptop,Asus,743.88,61990,TH GEN INTEL CORE I5 1335U,16,512,INTEGRATED INTEL IRIS XE GRAPHICS,15.6,Windows 11 OS,1,65.0
255 G8 6E3Z0PA Laptop,HP,323.99,26999,RD GEN AMD RYZEN 3 3250U,8,512,AMD RADEON GRAPHICS,15.6,DOS OS,1,69.32352941176471
Omen 16-wd0990TX Gaming Laptop,HP,1237.19,103099,TH GEN INTEL CORE I5 13420H,16,512,NVIDIA GEFORCE RTX 4050,16.1,Windows 11 OS,1,73.0
Zerobook 13 ZL513 2023 Laptop,Infinix,779.88,64990,TH GEN INTEL CORE I7 13700H,32,1024,INTEL INTEGRATED IRIS XE,15.6,Windows 11 OS,1,63.0
S14 Gen 3 82TW001CIH Laptop,Lenovo,575.88,47990,TH GEN INTEL CORE I5 1235U,8,512,INTEL UHD GRAPHICS,14.0,Windows 11 OS,2,62.0
IdeaPad 1 14IGL7 82V6005EIN Laptop,Lenovo,299.88,24990,TH GEN INTEL CELERON N4020,8,256,INTEL INTEGRATED UHD,14.0,Windows 10 OS,1,69.32352941176471
ThinkPad T14 Gen 2 20W0S16Q00 Laptop,Lenovo,1569.6,130800,TH GEN INTEL CORE I7 1165G7,16,512,NVIDIA GEFORCE MX450,14.0,Windows 11 OS,1,69.0
Thin GF63 11SC-1462IN Gaming Laptop,MSI,695.88,57990,TH GEN INTEL CORE I7 11800H,16,512,NVIDIA GEFORCE GTX 1650,15.6,Windows 11 OS,2,71.0
ThinkBook 15 21JF002CIN Laptop,Lenovo,462.0,38500,TH GEN AMD RYZEN 3 7330U,8,512,AMD RADEON AMD,15.6,DOS OS,1,69.32352941176471
Thin GF63 11SC-1477IN Gaming Laptop,MSI,575.88,47990,TH GEN INTEL CORE I5 11260H,8,512,NVIDIA GEFORCE GTX 1650,15.6,Windows 11 OS,2,67.0
ThinkPad E14 21JRS00Y00 Laptop,Lenovo,539.88,44990,TH GEN AMD RYZEN 3 7330U,8,512,AMD RADEON GRAPHICS,14.0,Windows 11 OS,1,60.0
Katana GF66 12UCOK 2023 Gaming Laptop,MSI,839.88,69990,TH GEN INTEL CORE I5 12450H,16,512,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,2,65.0
Vivobook 15 2023 X1504VA-NJ543WS Laptop,Asus,743.88,61990,TH GEN INTEL CORE I5 1335U,16,512,INTEGRATED INTEL IRIS XE GRAPHICS,15.6,Windows 11 OS,1,64.0
Vivobook 16X 2023 K3605ZU-MB541WS Laptop,Asus,1079.88,89990,TH GEN INTEL CORE I5 12450H,16,512,NVIDIA GEFORCE RTX 4050,16.0,Windows 11 OS,1,75.0
Vivobook 15 OLED 2023 X1505VAU-LK543WS Laptop,Asus,791.88,65990,TH GEN ‎INTEL CORE I5 1335U,16,512,INTEGRATED INTEL IRIS XE GRAPHICS,15.6,Windows 11 OS,1,60.0
ThinkPad E14 21JRS00T00 Laptop,Lenovo,707.88,58990,TH GEN AMD RYZEN 5 7530U,8,512,AMD RADEON GRAPHICS,14.0,Windows 11 OS,1,62.0
Envy x360 15-fe0028TU Laptop,HP,1139.88,94990,TH GEN INTEL CORE I5 1335U,16,512,INTEL INTEGRATED IRIS XE,15.6,Windows 11 OS,1,66.0
Envy x360 15-fh0019AU Laptop,HP,1037.88,86490,TH GEN AMD RYZEN 7 7730U,16,512,AMD RADEON AMD,15.6,Windows 11 OS,1,70.0
Envy x360 15-fh0015AU Laptop,HP,929.88,77490,TH GEN AMD RYZEN 5 7530U,16,512,AMD RADEON AMD,15.6,Windows 11 OS,1,66.0
Envy x360 15-fh0016AU Laptop,HP,1025.88,85490,TH GEN AMD RYZEN 5 7530U,16,512,AMD RADEON AMD,15.6,Windows 11 OS,1,66.0
IdeaPad Slim 3 2023 82X70033IN Laptop,Lenovo,528.0,44000,TH GEN INTEL CORE I3 1305U,8,512,INTEGRATED INTEL UHD GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
14-em0027AU Laptop,HP,623.88,51990,TH GEN AMD RYZEN 5 7520U,16,512,AMD RADEON AMD,14.0,Windows 11 OS,1,60.0
Vostro 15 3510 Laptop,Dell,455.88,37990,TH GEN INTEL CORE I3 1115G4,8,1024,INTEL UHD GRAPHICS,15.6,Windows 11 OS,1,60.0
14-em0025AU Laptop,HP,419.88,34990,TH GEN AMD RYZEN 3 7320U,8,512,AMD RADEON AMD,14.0,Windows 11 OS,1,69.32352941176471
ThinkPad E14 21JRS00U00 Laptop,Lenovo,693.59,57799,TH GEN AMD RYZEN 5 7530U,16,512,AMD RADEON GRAPHICS,14.0,Windows 11 OS,1,64.0
Thinkpad E15 21E6S05B00 Laptop,Lenovo,791.88,65990,TH GEN INTEL CORE I5 1235U,8,512,INTEL UHD GRAPHICS,15.6,Windows 11 OS,1,67.0
Thinkbook 15 21DJ00EXIH Laptop,Lenovo,647.88,53990,TH GEN INTEL CORE I5 1235U,8,512,IRIS XE GRAPHICS,15.6,Windows 11 OS,1,66.0
IdeaPad Gaming 3 15ACH6 82K2025JIN Laptop,Lenovo,599.88,49990,TH GEN AMD RYZEN 5 5600H,8,512,NVIDIA GEFORCE GTX 1650,15.6,Windows 11 OS,1,67.0
Stealth 15 A13VF-074IN Gaming Laptop,MSI,2063.88,171990,TH GEN INTEL CORE I7 13620H,16,1024,NVIDIA GEFORCE RTX 4060,15.6,Windows 11 OS,2,79.0
14-gr0000TU Laptop,HP,539.88,44990,TH GEN INTEL CORE I3 1315U,8,512,INTEL UHD GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
Envy 15-fe0032TU Laptop,HP,1391.88,115990,TH GEN INTEL CORE I7 1355U,16,1024,INTEL IRIS X GRAPHICS,15.6,Windows 11 OS,1,70.0
14-hr0000AU Laptop,HP,611.88,50990,TH GEN AMD RYZEN 5 7520U,16,512,AMD RADEON AMD,14.0,Windows 11 OS,1,60.0
Envy 15-fe0030TU Laptop,HP,1319.88,109990,TH GEN INTEL CORE I7 1355U,16,512,INTEL IRIS X GRAPHICS,15.6,Windows 11 OS,1,69.0
One 14 Z2-493 Laptop,Acer,359.88,29990,RD GEN AMD RYZEN 5 3500U,8,256,AMD RADEON GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
ROG Zephyrus G14 2023 GA402XU-N2045WS Gaming Laptop,Asus,1967.99,163999,TH GEN AMD RYZEN 9 7940HS,16,1024,NVIDIA GEFORCE RTX 4050,14.0,Windows 11 OS,1,83.0
TUF Gaming F15 FX506HF-HN026W Gaming Laptop,Asus,707.88,58990,TH GEN INTEL CORE I5 11400H,8,1024,NVIDIA GEFORCE RTX 2050,15.6,Windows 11 OS,1,71.0
Inspiron 5430 2023 Laptop,Dell,1007.88,83990,TH GEN INTEL CORE I7 1355U,16,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
Inspiron 3525 Laptop,Dell,526.68,43890,TH GEN AMD RYZEN 5 5500U,8,512,AMD RADEON RADEON GRAPHICS,15.6,Windows 11 OS,1,63.0
A16 Gaming Laptop,Ninkear,959.99,79999,TH GEN AMD RYZEN 7 7735HS,32,2048,AMD RADEON 680M,16.0,Windows 11 OS,1,76.0
IdeaPad 3 15ITL05 81X800N2IN Laptop,Lenovo,425.88,35490,TH GEN INTEL CORE I3 1115G4,8,512,INTEL IRIS XE GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
Zbook Power G4-A ZHAN 99 Laptop,HP,1654.68,137890,TH GEN AMD RYZEN 7 6800H,32,1024,NVIDIA QUADRO T600,15.6,Windows 11 OS,1,77.0
Inspiron 7420 2in1 Laptop,Dell,1139.88,94990,TH GEN INTEL CORE I7 1255U,16,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,67.0
IdeaPad Gaming 3 15IAH7 82S9014KIN Laptop,Lenovo,815.88,67990,TH GEN INTEL CORE I5 12450H,16,512,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,1,70.0
14-em0026AU Laptop,HP,563.88,46990,TH GEN AMD RYZEN 5 7520U,8,512,AMD RADEON AMD,14.0,Windows 11 OS,1,69.32352941176471
Vivobook 16X 2023 K3605ZU-MB741WS Laptop,Asus,1139.88,94990,TH GEN INTEL CORE I7 12650H,16,512,NVIDIA GEFORCE RTX 4050,16.0,Windows 11 OS,1,77.0
GF75 Thin 10SCXR-007IN Laptop,MSI,1002.0,83500,TH GEN INTEL CORE I7 10750H,8,512,NVIDIA GEFORCE GTX 1650,17.3,Windows 10  OS,1,67.0
Cyborg 15 A12VE-051IN Gaming Laptop,MSI,1103.88,91990,TH GEN INTEL CORE I5 12450H,16,512,NVIDIA GEFORCE RTX 4050,15.6,Windows 11 OS,2,73.0
Cyborg 15 A12VF-049IN Gaming Laptop,MSI,1343.88,111990,TH GEN INTEL CORE I7 12650H,16,512,NVIDIA GEFORCE RTX 4060,15.6,Windows 11 OS,2,78.0
250 G9 701H5PA Laptop,HP,815.88,67990,TH GEN INTEL CORE I5 1235U,16,512,INTEL IRIS XE GRAPHICS,15.6,Windows 11 OS,1,66.0
Thinkpad E14 21E3S06300 Laptop,Lenovo,815.99,67999,TH GEN INTEL CORE I5 1235U,8,512,INTEL IRIS XE,14.0,DOS OS,1,62.0
‎ThinkPad E14 Gen 4 21E3S06Q00 Laptop,Lenovo,554.4,46200,TH GEN INTEL CORE I3 1215U,8,512,INTEL UHD,14.0,DOS OS,1,69.32352941176471
Vostro 5620 Laptop,Dell,635.98,52998,TH GEN INTEL CORE I3 1215U,8,512,INTEL UHD,16.0,Windows 11  OS,1,69.32352941176471
Vostro 3525 D560926WIN9B Laptop,Dell,545.99,45499,TH GEN AMD RYZEN 5 5500U,8,512,AMD RADEON GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
‎ThinkPad E14 Gen 4 21E3S06D00 Laptop,Lenovo,599.99,49999,TH GEN INTEL CORE I3 1215U,8,512,INTEL UHD,14.0,Windows 11 OS,1,62.0
Aspire 3 A315-510P Laptop,Acer,359.76,29980,INTEL CORE I3 N305,8,256,INTEL UHD GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
Inspiron 16 5635 Laptop,Dell,687.48,57290,TH GEN AMD RYZEN 5 7530U,8,512,AMD RADEON GRAPHICS,16.0,Windows 11 OS,1,60.0
Pavilion 14-dv1043TU Laptop,HP,707.88,58990,TH GEN INTEL CORE I5 1155G7,8,512,INTEL INTEGRATED IRIS XE,14.0,Windows 11 OS,1,62.0
Blade 14 2023 Gaming Laptop,Razer,2399.88,199990,TH GEN AMD RYZEN 9 7940HS,32,1024,NVIDIA GEFORCE RTX 4060,14.0,Windows 11 OS,1,85.0
Bravo 15 C7UDXK-092IN Gaming Laptop,MSI,959.88,79990,TH GEN AMD RYZEN 7 7735HS,16,512,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,2,70.0
Bravo 15 C7UDXK-093IN Gaming Laptop,MSI,947.88,78990,TH GEN AMD RYZEN 5 7535HS,16,512,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,2,69.0
Aspire 5 A514-56M 2023 Gaming Laptop,Acer,623.88,51990,TH GEN INTEL CORE I5 1335U,8,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
Bravo 17 C7VFK-034IN Gaming Laptop,MSI,1259.88,104990,TH GEN AMD RYZEN 7 7735HS,16,1024,NVIDIA GEFORCE RTX 4060,17.3,Windows 11 OS,1,78.0
Bravo 15 C7VFK-087IN Gaming Laptop,MSI,1259.88,104990,TH GEN AMD RYZEN 7 7735HS,16,1024,NVIDIA GEFORCE RTX 4060,15.6,Windows 11 OS,1,78.0
One 14 2023 Z8-415 ‎Laptop,Acer,479.88,39990,TH GEN INTEL CORE I5 1135G7,8,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
Thin GF63 11UCX-1441IN Gaming Laptop,MSI,719.88,59990,TH GEN INTEL CORE I7 11800H,16,512,NVIDIA GEFORCE RTX 2050,15.6,Windows 11 OS,2,71.0
Thin GF63 11UCX-1471IN Gaming Laptop,MSI,575.88,47990,TH GEN INTEL CORE I5 11260H,8,512,NVIDIA GEFORCE RTX 2050,15.6,Windows 11 OS,2,66.0
Vivobook 15 X1504ZA-NJ521WS Laptop,Asus,574.68,47890,TH GEN INTEL CORE I5 1235U,8,512,INTEGRATED INTEL IRIS XE GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
Bravo 15 C7VEK-089IN Gaming Laptop,MSI,1025.88,85490,TH GEN AMD RYZEN 5 7535HS,16,512,NVIDIA GEFORCE RTX 4050,15.6,Windows 11 OS,1,75.0
Bravo 15 C7VEK-088IN Gaming Laptop,MSI,1139.88,94990,TH GEN AMD RYZEN 7 7735HS,16,1024,NVIDIA GEFORCE RTX 4050,15.6,Windows 11 OS,1,77.0
Bravo 17 C7VEK-035IN Gaming Laptop,MSI,1145.88,95490,TH GEN AMD RYZEN 7 7735HS,16,1024,NVIDIA GEFORCE RTX 4050,17.3,Windows 11 OS,1,77.0
255 G9 7M654PA Laptop,HP,659.99,54999,TH GEN INTEL CORE I3 1215U,8,512,AMD RADEON GRAPHICS,15.6,Windows 11 OS,1,63.0
ThinkPad T14 2022 Laptop,Lenovo,1908.0,159000,TH GEN INTEL CORE I7 1260P,16,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,72.0
Inspiron 5620 ICC-C783531WIN8 Laptop,Dell,967.32,80610,TH GEN INTEL CORE I5 1240P,16,512,NVIDIA GEFORCE MX570,16.0,Windows 11  OS,1,70.0
Prestige 13 Evo A12M-085IN Laptop,MSI,935.88,77990,TH GEN INTEL CORE I5 1240P,8,512,INTEL INTEGRATED IRIS XE,13.3,Windows 11 OS,2,66.0
XPS 17 9730 Laptop,Dell,3641.88,303490,TH GEN INTEL CORE I7 13700H,32,1024,NVIDIA GEFORCE RTX 4060,17.0,Windows 11 OS,1,69.32352941176471
XPS 13 Plus 9320 2023 Laptop,Dell,2423.88,201990,TH GEN INTEL CORE I7 1360P,32,1024,INTEL IRIS XE GRAPHICS,13.4,Windows 11 OS,1,82.0
XPS 9530 2023 Laptop,Dell,3339.48,278290,TH GEN INTEL CORE I7 13700H,32,1024,NVIDIA RTX 4050,15.6,Windows 11 OS,1,88.0
Legion Pro 7i 2023 Gaming Laptop,Lenovo,3434.4,286200,TH GEN INTEL CORE I9 13900HX,32,1024,NVIDIA GEFORCE RTX 4080,16.0,Windows 11 OS,1,82.0
Legion Slim 7i 2023 Gaming Laptop,Lenovo,1890.53,157544,TH GEN INTEL CORE I5 13500H,16,1024,NVIDIA GEFORCE RTX 4060,16.0,Windows 11 OS,1,71.0
Legion Pro 5 82WM00B5IN 2023 Gaming Laptop,Lenovo,1691.88,140990,TH GEN AMD RYZEN 7 7745HX,16,1024,NVIDIA GEFORCE RTX 4060,16.0,Windows 11 OS,1,77.0
Thinkpad E14 G4 21E3S02M00 Laptop,Lenovo,1596.0,133000,TH GEN INTEL CORE I7 1255U,16,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,75.0
Thinkpad E14 G4 21E3006UIG Laptop,Lenovo,870.0,72500,TH GEN INTEL CORE I5 1235U,8,512,INTEL IRIS XE GRAPHICS,14.0,DOS OS,1,63.0
Gram 14 2023 14Z90R Laptop,LG,1524.0,127000,TH GEN INTEL CORE I5 1340P,8,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,70.0
Gram 17 2023 17Z90R-G.CH77A2 Laptop,LG,1763.88,146990,TH GEN INTEL CORE I7 1360P,16,1024,NVIDIA RTX 3050,17.0,Windows 11 OS,1,76.0
Gram 16 2023 16Z90R Laptop,LG,1715.88,142990,TH GEN INTEL CORE I7 1360P,16,1024,NVIDIA RTX 3050,16.0,Windows 11 OS,1,76.0
Gram 2 in 1 16 Laptop,LG,2460.0,205000,TH GEN INTEL CORE I5 1340P,8,256,INTEL IRIS XE GRAPHICS,16.0,Windows 11 OS,1,72.0
UltraPC 16 16U70R-G.AH76A2 Laptop,LG,1077.59,89799,TH GEN AMD RYZEN 7 7730U,16,512,AMD RADEON 7 GRAPHICS,16.0,Windows 11 OS,1,75.0
Thinkbook 14 Gen 4 Laptop,Lenovo,767.99,63999,TH GEN INTEL CORE I5 1235U,16,1024,INTEGRATED INTEL UHD GRAPHICS,14.0,Windows 11 OS,1,62.0
Inspiron 3525 D560927WIN9S Laptop,Dell,521.88,43490,TH GEN AMD RYZEN 5 5500U,8,512,AMD RADEON,15.6,Windows 11 OS,1,69.32352941176471
Vayu Book LAP01 Laptop,AXL,155.88,12990,INTEL CELERON N4020,4,128,INTEL INTEGRATED UHD GRAPHICS,14.1,Windows 11 OS,1,69.32352941176471
Vayu Book LAP02 Laptop,AXL,191.88,15990,INTEL CELERON N4020,4,256,INTEL INTEGRATED UHD GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
Modern 14 C12M-444IN Laptop,MSI,443.88,36990,TH GEN INTEL CORE I3 1215U,16,512,INTEL INTEGRATED UHD,14.0,Windows 11 OS,1,62.0
Vivobook 14X 90NB11H2-M004D0 Laptop,Asus,767.88,63990,TH GEN INTEL CORE I5 12450H,16,512,NVIDIA GEFORCE RTX 2050,14.0,Windows 11 OS,1,69.0
S14 82TW0019IH Laptop,Lenovo,551.88,45990,TH GEN INTEL CORE I5 1235U,8,512,INTEGRATED INTEL UHD GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
V15 G2 ALC 82KDA01YIH Laptop,Lenovo,419.88,34990,TH GEN AMD RYZEN 5 5500U,8,512,AMD RADEON AMD,15.6,DOS OS,1,69.32352941176471
ThinkBook 15 G3 ACL 21A4A08VIH Laptop,Lenovo,497.88,41490,TH GEN AMD RYZEN 5 5500U,8,512,AMD RADEON AMD,15.6,Windows 11 OS,1,69.32352941176471
Vivobook Pro 15 M6500QF-HN741WS  Laptop,Asus,779.88,64990,TH GEN AMD RYZEN 7 5800H,16,512,NVIDIA GEFORCE RTX 2050,15.6,Windows 11 OS,1,64.0
Victus 16 7K4J6PAACJ Laptop,HP,695.88,57990,TH GEN INTEL CORE I5 11400H,8,512,NVIDIA GEFORCE GTX 1650,16.1,Windows 11 OS,1,70.0
Aspire 7 A715-76G UN.QMESI.003 Gaming Laptop,Acer,659.88,54990,TH GEN INTEL CORE I5 12450H,16,512,NVIDIA GEFORCE GTX 1650,15.6,Windows 11 OS,1,69.0
Alienware x14 R2 Gaming Laptop,Dell,2507.88,208990,TH GEN INTEL CORE I7 13620H,16,1024,NVIDIA GEFORCE RTX 4050,14.0,Windows 11 OS,1,72.0
Vivobook S15 OLED 2023 S5504VA-MA554WS Laptop,Asus,1098.72,91560,TH GEN INTEL CORE I5 13500H,16,1024,INTEL INTEGRATED IRIS XE,15.6,Windows 11 OS,1,66.0
Thinkpad E14 20TA00J2IG Laptop,Lenovo,888.0,74000,TH GEN INTEL CORE I5 1135G7,16,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,3,64.0
V15 G3 Laptop,Lenovo,623.99,51999,TH GEN INTEL CORE I5 1235U,8,512,INTEL INTEGRATED UHD,15.6,Windows 11 OS,1,69.32352941176471
V15 G3 ‎‎82C7007SGE Laptop,Lenovo,383.88,31990,TH GEN AMD RYZEN 3 7320U,8,512,AMD RADEON GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
IdeaPad 3 15ITL6 82H803HLIN Laptop,Lenovo,389.88,32490,TH GEN INTEL CORE I3 1115G4,8,256,INTEL INTEGRATED UHD,15.6,Windows 11 OS,1,69.32352941176471
IdeaPad 5 15ITL05 82FG01UUIN Laptop,Lenovo,898.66,74888,INTEL CORE I7,16,512,NVIDIA GEFORCE MX450,15.6,Windows 11 OS,1,64.0
Victus 16-d0302TX Gaming Laptop,HP,798.0,66500,TH GEN INTEL CORE I5 11400H,8,512,NVIDIA GEFORCE GTX 1650,16.1,Windows 11 OS,1,71.0
‎G16-7630 2023 Gaming Laptop,Dell,1881.59,156799,TH GEN INTEL CORE I7 13650HX,16,1024,NVIDIA GEFORCE RTX 4060,16.0,Windows 11 OS,1,78.0
2023 ‎G16-7630 Gaming Laptop,Dell,2002.79,166899,TH GEN INTEL CORE I7 13650HX,32,1024,NVIDIA GEFORCE RTX 4060,16.0,Windows 11 OS,1,82.0
Inspiron 7430 IC7430FD64T001ORS1 Laptop,Dell,1079.88,89990,TH GEN INTEL CORE I7 1355U,16,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
Omen 17-cm2003TX Gaming Laptop,HP,2057.99,171499,TH GEN INTEL 7 13700HX,16,1024,NVIDIA GEFORCE RTX 4060,17.3,Windows 11 OS,1,79.0
14s-dr3003TU 832T7PA Laptop,HP,359.99,29999,INTEL PENTIUM SILVER N6000,8,512,INTEL UHD GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
IdeaPad 3 15ITL6 82H8038WIN Laptop,Lenovo,431.98,35998,TH GEN INTEL CORE I3 1115G4,8,512,INTEL INTEGRATED UHD,15.6,Windows 11 OS,2,69.32352941176471
Inspiron 15 3530 Laptop,Dell,539.87,44989,TH GEN INTEL CORE I3 1305U,8,512,INTEL INTEGRATED UHD,15.6,Windows 11 OS,1,69.32352941176471
Aspire 3 A315-59 NX.K6TSI.00C Laptop,Acer,419.88,34990,TH GEN INTEL CORE I3 1215U,8,512,INTEL IRIS XE GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
INBook X2 Slim Series XL23 Laptop,Infinix,587.88,48990,TH GEN INTEL CORE I7 1195G7,16,512,INTEL INTEGRATED IRIS XE,14.0,Windows 11 OS,1,60.0
