nombre,precio_actual,precio_original,descuento,valoracion,plataforma,fecha,precio_actual_num,precio_original_num,descuento_pct,fecha_extraccion,anio,mes,dia
"Lenovo IdeaPad Slim 3 Gen 8 – Ordenador Portátil 15.6'' FHD (Intel Core i3-N305, Intel UHD Graphics, 8 GB RAM, 256 GB SSD, Wi-Fi 6, Win 11 Home, Office Trial) Teclado QWERTY Español - Azul Abismo","449,.00","479,00 €",,"4,4 de 5 estrellas",Amazon,2026-04-20 23:20,449.0,479.0,6.26,2026-04-20 23:20:00,2026,4,20
"acer Aspire Go 15 AG15-42P, Ordenador Portátil 15.6"" Full HD (AMD Ryzen 5 5625U, 16 GB RAM, 512 GB SSD, AMD Radeon Graphics, Windows 11 Home), Plata, Teclado QWERTY Español","499,.00","549,00 €",,"5,0 de 5 estrellas",Amazon,2026-04-20 23:20,499.0,549.0,9.11,2026-04-20 23:20:00,2026,4,20
"HP - Ordenador portátil de 15.6"" FHD (AMD Ryzen 5-7520U, 16 GB RAM, 1TB SSD, AMD Radeon Graphics, Sin Sistema operativo) Plata y Azul - Teclado QWERTY Español","499,.00","549,00 €",,"3,8 de 5 estrellas",Amazon,2026-04-20 23:20,499.0,549.0,9.11,2026-04-20 23:20:00,2026,4,20
"ASUS Vivobook Go 15 E1504FA - Ordenador Portátil 15.6inch Full HD (Windows 11 home, AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, Radeon 610M) Plata fría - teclado QWERTY Español","549,.00",,,"2,9 de 5 estrellas",Amazon,2026-04-20 23:20,549.0,,,2026-04-20 23:20:00,2026,4,20
"Lenovo IdeaPad Slim 3 Gen 8 – Ordenador Portátil 15.6"" FHD Intel Core i5-13420H, 16 GB RAM, 512 GB SSD, Intel UHD Graphics, Wi-Fi 6, Win 11 Home, Office Trial Teclado QWERTY Español - Gris Ártico","579,.00","679,00 €",,"4,4 de 5 estrellas",Amazon,2026-04-20 23:20,579.0,679.0,14.73,2026-04-20 23:20:00,2026,4,20
"ASUS Vivobook 15 F1504VA-BQ128W - Ordenador Portátil 15.6"" Full HD (Windows 11 Home,Intel Core 5 120U, 16GB RAM, 1TB SSD, Graphics,) Azul Tranquilo - Teclado QWERTY español","585,.66","649,00 €",,"4,4 de 5 estrellas",Amazon,2026-04-20 23:20,585.66,649.0,9.76,2026-04-20 23:20:00,2026,4,20
"Lenovo IdeaPad Slim 3 Gen 10 – Ordenador Portátil 15.3"" WUXGA (Intel Core i5-13420H, 16 GB RAM, 512 GB SSD, Gráficos Intel UHD, Wi-Fi 6, Windows 11 Home) Teclado QWERTY Español - Gris Luna","599,.00","679,00 €",,"4,7 de 5 estrellas",Amazon,2026-04-20 23:20,599.0,679.0,11.78,2026-04-20 23:20:00,2026,4,20
"HP 15-fc0240ns - Ordenador portátil de 15.6"" FHD (AMD Ryzen 7-7730U, 32 GB RAM, 1TB SSD, AMD Radeon Graphics, Sin Sistema operativo) Plata - Teclado QWERTY Español","629,.00","699,00 €",,"4,3 de 5 estrellas",Amazon,2026-04-20 23:20,629.0,699.0,10.01,2026-04-20 23:20:00,2026,4,20
"HP 15-fc0243ns - Ordenador portátil de 15.6"" FHD (AMD Ryzen 7-7730U, 32 GB RAM, 1TB SSD, AMD Radeon Graphics, Windows 11) Plata y Azul - Teclado QWERTY Español","719,.00","799,00 €",,"4,4 de 5 estrellas",Amazon,2026-04-20 23:20,719.0,799.0,10.01,2026-04-20 23:20:00,2026,4,20
"Portátil Samsung Galaxy Book4 NP750XGJ-KG4ES, i7-1355U, 16GB, 1TB SSD, 15,6"", W11",Precio de venta 779 €,Precio original 899 €,,,ElCorteIngles,2026-04-20 23:20,779.0,899.0,13.35,2026-04-20 23:20:00,2026,4,20
"Portátil HP OmniBook 7 14-fr0001ns, Intel Core Ultra 5 EVO-225U, 16GB, 1TB SSD, 14"" OLED, W11",Precio de venta 899 €,Precio original 999 €,,,ElCorteIngles,2026-04-20 23:20,899.0,999.0,10.01,2026-04-20 23:20:00,2026,4,20
"Portátil HP 15-fd1017ns, Intel Core Ultra 7-155H, 32GB, 1TB SSD, 15,6"", W11",Precio de venta 949 €,Precio original 1.049 €,,,ElCorteIngles,2026-04-20 23:20,949.0,1049.0,9.53,2026-04-20 23:20:00,2026,4,20
"Portátil Lenovo Yoga Slim 7 14IMH9, Intel Core Ultra 7-155H, 32GB, 1TB SSD, 14"" OLED, W11",Precio de venta 999 €,Precio original 1.199 €,,,ElCorteIngles,2026-04-20 23:20,999.0,1199.0,16.68,2026-04-20 23:20:00,2026,4,20
"Portátil Gaming HP VICTUS 15-fa2007ns, Intel Core 7-240H, 16GB, 1TB SSD, Nvidia GeForce RTX 5060 8GB, 15,6"", W11",Precio de venta 1.199 €,Precio original 1.399 €,,,ElCorteIngles,2026-04-20 23:20,1199.0,1399.0,14.3,2026-04-20 23:20:00,2026,4,20
"Portátil HP 250 G9 15.6"" Intel Celeron N4500 8GB 256GB SSD UHD Graphics FreeDOS","269,99€",428€,,,PcComponentes,2026-04-20 23:20,269.99,428.0,36.92,2026-04-20 23:20:00,2026,4,20
"ASUS Vivobook Go 15 E1504FA-BQ2447 AMD Ryzen 5 7520U/16GB/512GB SSD/15.6""","444,99€",499€,,,PcComponentes,2026-04-20 23:20,444.99,499.0,10.82,2026-04-20 23:20:00,2026,4,20
Acer Aspire Go 15 AG15-42P-R26T 15.6″ AMD Ryzen 7 5825U 16GB 512GB SSD FHD Wi-Fi 6 Plata,449€,549€,,,PcComponentes,2026-04-20 23:20,449.0,549.0,18.21,2026-04-20 23:20:00,2026,4,20
"Portátil Lenovo IdeaPad Slim 3 15AMN8 15,6"" AMD Ryzen 5 7520U 16GB 512GB SSD Azul",469€,499€,,,PcComponentes,2026-04-20 23:20,469.0,499.0,6.01,2026-04-20 23:20:00,2026,4,20
"Portátil Alurin Flex Advance AMD Ryzen 7-5825U 15.6""/ 16GB/500GB/Windows 11 Home","509,99€","644,99€",,,PcComponentes,2026-04-20 23:20,509.99,644.99,20.93,2026-04-20 23:20:00,2026,4,20
Portátil ASUS ExpertBook P1503CVA-S70671 15.6″ Intel Core i5-13420H 16 GB 512GB Gris WiFi 6 UHD Windows 11,529€,599€,,,PcComponentes,2026-04-20 23:20,529.0,599.0,11.69,2026-04-20 23:20:00,2026,4,20
"Portátil Lenovo IdeaPad Slim 3 15IRH10 15,3"" Intel Core i5-13420H 16GB 1TB SSD Intel UHD Graphics",559€,,,,PcComponentes,2026-04-20 23:20,559.0,,,2026-04-20 23:20:00,2026,4,20
"Portátil HP 15-fd0278ns 15.6"" Intel Core i5-1334U 16GB RAM 512GB SSD FHD Plata Windows 11",599€,649€,,,PcComponentes,2026-04-20 23:20,599.0,649.0,7.7,2026-04-20 23:20:00,2026,4,20
"Portátil Lenovo IdeaPad Slim 3 15IRH10 15,3"" Intel Core i5-13420H 16GB 1TB SSD Windows 11 Home",649€,699€,,,PcComponentes,2026-04-20 23:20,649.0,699.0,7.15,2026-04-20 23:20:00,2026,4,20
"Portátil Asus Vivobook 15 F1504VA-BQ305W 15.6"" Intel Core 7 150U 16GB 1TB SSD Intel Graphics Windows 11 Home",699€,749€,,,PcComponentes,2026-04-20 23:20,699.0,749.0,6.68,2026-04-20 23:20:00,2026,4,20
"Portátil Lenovo IdeaPad Slim 3 15IRH10 15,3"" Intel Core i7-13620H 16GB 1TB SSD Windows 11 Home",749€,849€,,,PcComponentes,2026-04-20 23:20,749.0,849.0,11.78,2026-04-20 23:20:00,2026,4,20
"Portátil HP Victus 15-fb3030ns 15.6"" AMD Ryzen 5 8645HS 16GB 512GB SSD RTX 4050 6GB Azul",779€,999€,,,PcComponentes,2026-04-20 23:20,779.0,999.0,22.02,2026-04-20 23:20:00,2026,4,20
"Apple Macbook Air Apple M4 10 Núcleos/16 GB/256GB SSD/GPU 8 Núcleos/13.6"" Azul Cielo",899€,1.179€,,,PcComponentes,2026-04-20 23:20,899.0,1179.0,23.75,2026-04-20 23:20:00,2026,4,20
"Portátil Acer Nitro V 16 AI 16"" AMD Ryzen 7 260 16GB 1TB SSD RTX 5050 Sin sistema operativo",999€,1.149€,,,PcComponentes,2026-04-20 23:20,999.0,1149.0,13.05,2026-04-20 23:20:00,2026,4,20
"Portátil Acer Gaming Nitro V 15 ANV15-52 15.6"" Intel Core i9-13900H 32GB 1TB SSD RTX 5050",1.129€,1.499€,,,PcComponentes,2026-04-20 23:20,1129.0,1499.0,24.68,2026-04-20 23:20:00,2026,4,20
"Portátil Acer Nitro V 15 ANV15-52 15.6"" Intel Core i9-13900H 32GB 1TB RTX 5060",1.199€,1.699€,,,PcComponentes,2026-04-20 23:20,1199.0,1699.0,29.43,2026-04-20 23:20:00,2026,4,20
"Apple Macbook Air Apple M4 10 Núcleos/16 GB/512GB SSD/GPU 10 Núcleos/13.6"" Blanco Estrella",1.219€,1.449€,,,PcComponentes,2026-04-20 23:20,1219.0,1449.0,15.87,2026-04-20 23:20:00,2026,4,20
"MSI Cyborg 15 B2RWFKG-201XES Intel Core 7 240H 32GB DDR5 1TB SSD RTX 5060 15.6"" FHD RGB",1.249€,1.999€,,,PcComponentes,2026-04-20 23:20,1249.0,1999.0,37.52,2026-04-20 23:20:00,2026,4,20
"Portátil Lenovo Legion 5 15AHP10 15.3"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 Negro",1.249€,1.499€,,,PcComponentes,2026-04-20 23:20,1249.0,1499.0,16.68,2026-04-20 23:20:00,2026,4,20
"Portátil Lenovo LOQ 15IRX10 15.6"" Intel Core i7-13700HX 32GB 1TB SSD RTX 5060 8GB Luna Grey RGB e-Shutter",1.249€,1.499€,,,PcComponentes,2026-04-20 23:20,1249.0,1499.0,16.68,2026-04-20 23:20:00,2026,4,20
"ASUS TUF Gaming FX608JMR-RV003 Intel Core i7-14650HX/32GB/1TB SSD/RTX 5060/16""",1.299€,1.599€,,,PcComponentes,2026-04-20 23:20,1299.0,1599.0,18.76,2026-04-20 23:20:00,2026,4,20
"PcCom Revolt 5060 Intel Core i7-14650HX 16"" /16GB/500GB/Windows Home","1.299,99€","1.799,99€",,,PcComponentes,2026-04-20 23:20,1299.99,1799.99,27.78,2026-04-20 23:20:00,2026,4,20
"Portátil Lenovo Legion 5 15AHP10 15.1"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 OLED Negro",1.349€,1.699€,,,PcComponentes,2026-04-20 23:20,1349.0,1699.0,20.6,2026-04-20 23:20:00,2026,4,20
"HP OMEN 16-ap0007ns AMD Ryzen AI 7 350 32GB 1TB SSD RTX 5070 8GB 16""",1.429€,1.799€,,,PcComponentes,2026-04-20 23:20,1429.0,1799.0,20.57,2026-04-20 23:20:00,2026,4,20
"Portátil MSI Cyborg 17 B2RWGKG-075XES 17.3"" Intel Core 9 270H 32GB 1TB SSD RTX 5070 QHD RGB",1.629€,2.349€,,,PcComponentes,2026-04-20 23:20,1629.0,2349.0,30.65,2026-04-20 23:20:00,2026,4,20
