nombre,precio_actual,precio_original,descuento,valoracion,plataforma,fecha,precio_actual_num,precio_original_num,descuento_pct,fecha_extraccion,anio,mes,dia
"ACEMAGIC 2026 Ordenador Portátil Gaming Ryzen 7 7H255(hasta 4.9 GHz) DDR5 16GB RAM 512GB SSD 4800Mhz Extensiones 4TB Carcasa de Metal,1200FHD,Retroiluminado,WiFi 6,BT5.2,Typo C,Gaming Laptop","577,.59","607,99 €",,"4,4 de 5 estrellas",Amazon,2026-03-30 12:51,577.59,607.99,5.0,2026-03-30 12:51:00,2026,3,30
"ASUS Vivobook 15 F1504VA-BQ128W - Ordenador Portátil 15.6"" Full HD (Windows 11 Home,Intel Core 5 120U, 16GB RAM, 1TB SSD, Graphics,) Azul Tranquilo - Teclado QWERTY español","579,.00",,,"4,2 de 5 estrellas",Amazon,2026-03-30 12:51,579.0,,,2026-03-30 12:51:00,2026,3,30
"HP 15-fc0243ns - Ordenador portátil de 15.6"" FHD (AMD Ryzen 7-7730U, 32 GB RAM, 1TB SSD, AMD Radeon Graphics, Windows 11) Plata y Azul - Teclado QWERTY Español","799,.00",,,"4,4 de 5 estrellas",Amazon,2026-03-30 12:51,799.0,,,2026-03-30 12:51:00,2026,3,30
"Portátil Lenovo IdeaPad Slim 3 15AMN8 15,6"" AMD Ryzen 5 7520U 16GB 512GB SSD Azul",429€,499€,,,PcComponentes,2026-03-30 12:51,429.0,499.0,14.03,2026-03-30 12:51:00,2026,3,30
"ASUS Vivobook Go 15 E1504FA-BQ2447 AMD Ryzen 5 7520U/16GB/512GB SSD/15.6""","444,99€",499€,,,PcComponentes,2026-03-30 12:51,444.99,499.0,10.82,2026-03-30 12:51:00,2026,3,30
Acer Aspire Go 15 AG15-42P-R26T 15.6″ AMD Ryzen 7 5825U 16GB 512GB SSD FHD Wi-Fi 6 Plata,459€,549€,,,PcComponentes,2026-03-30 12:51,459.0,549.0,16.39,2026-03-30 12:51:00,2026,3,30
"Portátil Alurin Flex Advance AMD Ryzen 7-5825U 15.6""/ 16GB/500GB/Windows 11 Home","489,99€","644,99€",,,PcComponentes,2026-03-30 12:51,489.99,644.99,24.03,2026-03-30 12:51:00,2026,3,30
"Lenovo IdeaPad Slim 3 Gen 8 15IRH8 Intel Core i5-13420H/16GB/1TB SSD/15.6""",549€,649€,,,PcComponentes,2026-03-30 12:51,549.0,649.0,15.41,2026-03-30 12:51:00,2026,3,30
"Portátil HP 15-fd0278ns 15.6"" Intel Core i5-1334U 16GB RAM 512GB SSD FHD Plata Windows 11",579€,649€,,,PcComponentes,2026-03-30 12:51,579.0,649.0,10.79,2026-03-30 12:51:00,2026,3,30
Portátil HP 15-fd0282ns Intel Core i7-1355U 16GB 1TB SSD Iris Xe Graphics Windows 11 Home Plata,779€,849€,,,PcComponentes,2026-03-30 12:51,779.0,849.0,8.24,2026-03-30 12:51:00,2026,3,30
"Portátil HP Victus 15-fa2012ns Intel Core i5-13420H 13ª 16GB 512GB SSD RTX 4050 15.6""",849€,1.099€,,,PcComponentes,2026-03-30 12:51,849.0,1099.0,22.75,2026-03-30 12:51:00,2026,3,30
"Portátil Lenovo LOQ Essential 15IRX11 15.6"" Intel Core i5-13450HX 16GB 512GB SSD RTX 5050 FreeDOS",869€,999€,,,PcComponentes,2026-03-30 12:51,869.0,999.0,13.01,2026-03-30 12:51:00,2026,3,30
"Apple Macbook Air Apple M4 10 Núcleos/16 GB/256GB SSD/GPU 8 Núcleos/13.6"" Azul Cielo",899€,1.179€,,,PcComponentes,2026-03-30 12:51,899.0,1179.0,23.75,2026-03-30 12:51:00,2026,3,30
"Apple Macbook Air Apple M4 10 Núcleos/16 GB/256GB SSD/GPU 8 Núcleos/13.6"" Plata",899€,1.179€,,,PcComponentes,2026-03-30 12:51,899.0,1179.0,23.75,2026-03-30 12:51:00,2026,3,30
"Portátil Lenovo Yoga Slim 7 14IMH9 14"" Intel Core Ultra 7 32GB 1TB SSD OLED Luna Grey",999€,1.199€,,,PcComponentes,2026-03-30 12:51,999.0,1199.0,16.68,2026-03-30 12:51:00,2026,3,30
"Apple Macbook Air Apple M4 10 Núcleos/16 GB/512GB SSD/GPU 10 Núcleos/13.6"" Medianoche",1.079€,1.429€,,,PcComponentes,2026-03-30 12:51,1079.0,1429.0,24.49,2026-03-30 12:51:00,2026,3,30
"Portátil Lenovo LOQ 15IRX10 15.6"" Intel Core i7-13700HX 32GB 1TB SSD RTX 5060 8GB Luna Grey RGB e-Shutter",1.149€,1.499€,,,PcComponentes,2026-03-30 12:51,1149.0,1499.0,23.35,2026-03-30 12:51:00,2026,3,30
"ASUS V16 V3607VM-RP010 Intel Core 7 240H/32GB/1TB SSD/RTX 5060/16""",1.229€,1.399€,,,PcComponentes,2026-03-30 12:51,1229.0,1399.0,12.15,2026-03-30 12:51:00,2026,3,30
"Portátil Lenovo Legion 5 15AHP10 15.1"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 OLED Negro",1.289€,1.699€,,,PcComponentes,2026-03-30 12:51,1289.0,1699.0,24.13,2026-03-30 12:51:00,2026,3,30
"MSI Cyborg 15 B2RWFKG-201XES Intel Core 7 240H 32GB DDR5 1TB SSD RTX 5060 15.6"" FHD RGB",1.299€,1.999€,,,PcComponentes,2026-03-30 12:51,1299.0,1999.0,35.02,2026-03-30 12:51:00,2026,3,30
"PcCom Revolt 5070 Intel Core i7-14650HX 16""/QHD /32GB/1TB/Windows 11 Home","1.658,99€","2.079,99€",,,PcComponentes,2026-03-30 12:51,1658.99,2079.99,20.24,2026-03-30 12:51:00,2026,3,30
"Portátil Lenovo Legion Pro 5 16IRX10 16"" Intel Core i9-14900HX 32GB 1TB SSD RTX 5070",1.799€,2.199€,,,PcComponentes,2026-03-30 12:51,1799.0,2199.0,18.19,2026-03-30 12:51:00,2026,3,30
"MSI Vector 16 HX AI A2XWHG-097XES Intel Core Ultra 7 255HX 32GB 1TB SSD RTX 5070 Ti 16""",1.899€,2.699€,,,PcComponentes,2026-03-30 12:51,1899.0,2699.0,29.64,2026-03-30 12:51:00,2026,3,30
