nombre,precio_actual,precio_original,descuento,valoracion,plataforma,fecha,precio_actual_num,precio_original_num,descuento_pct,fecha_extraccion,anio,mes,dia
"Ordenador portátil de 14,1 Pulgadas, Dual-Core, 6 GB RAM, 128 GB SSD, UHD 1366 x 768, diseño sin Ventilador, Wi-Fi 5G, Teclado de Membrana, ratón Incluido","199,.99",,,"4,0 de 5 estrellas",Amazon,2026-03-30 12:51,199.99,,,2026-03-30 12:51:00,2026,3,30
"PC Portátil 14 Pulgadas Celeron N4000 (hasta 2.6 GHz) , Computadora Portátil 6GB RAM 128GB SSD, Ordenador portátil W11 Pro Soporte WiFi, Bluetooth, USB 3.0 Mini HDMI, Estudiante/Oficina Laptop.","209,.00",,,"4,0 de 5 estrellas",Amazon,2026-03-30 12:51,209.0,,,2026-03-30 12:51:00,2026,3,30
"Ordenador Portátil de 14 Pulgadas Celeron N4000, Computadora Portátiles 6 GB RAM 128 GB SSD, PC Portátiles con 2,4 G/5 G WiFi, Bluetooth, Estudiantil Laptop Larga Vida útil de la Batería.","209,.00",,,"5,0 de 5 estrellas",Amazon,2026-03-30 12:51,209.0,,,2026-03-30 12:51:00,2026,3,30
"Monitor Portatil 15.6” Ultra-Delgado, 1080P FHD IPS Extensor Pantalla Portatil, Triple Pantalla para Portatil para computadoras portátiles de 13 ""-17"", Plug & Play para Mac/Android/Chrome","239,.99","299,99 €",,"5,0 de 5 estrellas",Amazon,2026-03-30 12:51,239.99,299.99,20.0,2026-03-30 12:51:00,2026,3,30
"15,6 Pulgadas Ordenador Portatil, Celeron N4000 Laptop hasta 2,6 GHz, 8GB DDR4 256GB SSD PC Portatil, IPS FHD Pantalla 1920*1080 Convertible 180°, Mini HDMI,WiFi 5, Adecuado para Estudiantes /Lavoro","239,.99",,,"3,4 de 5 estrellas",Amazon,2026-03-30 12:51,239.99,,,2026-03-30 12:51:00,2026,3,30
"ASUS Chromebook CX1505CTA - Ordenador Portátil 15.6"" Full HD (Intel N50, 4GB RAM, 128GB eMMC, ChromeOS) QWERTY Funda y ratón incluidos +3 Meses de Google AI Pro con Gemini Pro y 2TB de Almacenamiento","259,.00",,,"4,2 de 5 estrellas",Amazon,2026-03-30 12:51,259.0,,,2026-03-30 12:51:00,2026,3,30
"15.6 Pulgadas Ordenador Portatil, Win 11 PC Portátil Celeron N4000 CPU, Portátil con 12GB LPDDR4 512GB SSD, 1920*1080 IPS FHD Pantalla Laptop, TF Card Slot expansión hasta 1 TB, Mini HDMI+BT4.2","279,.99",,,"4,3 de 5 estrellas",Amazon,2026-03-30 12:51,279.99,,,2026-03-30 12:51:00,2026,3,30
"BMAX Ordenador Portátil 15,6"" Core i3-8109U hasta 3,6 GHz Portatiles 16GB RAM 512GB SSD Win 11 Pro Laptop 5G WiFi, Bluetooth 5.0, USB 3.0x2, HDMI, 1920x1080 FHD Protege el Teclado Español","309,.99","339,99 €",,"4,6 de 5 estrellas",Amazon,2026-03-30 12:51,309.99,339.99,8.82,2026-03-30 12:51:00,2026,3,30
"2026 Ordenador Portátil 15,6 Pulgadas Celeron N5095 2,9 GHz Win11 Pro 8GB 256GB SSD Expansión 1TB 1920x1080 FHD BT4.2 HDMl USB 3.0 Portatil con Ratón Inalámbrico y Teclado Español Membrana Gris","329,.99","999,99 €",,"4,8 de 5 estrellas",Amazon,2026-03-30 12:51,329.99,999.99,67.0,2026-03-30 12:51:00,2026,3,30
"Ordenador portátil 16 GB RAM 1 TB SSD pc portátil 2026 Oficina empresarial 16 Pulgadas N150 3,6 GHz, Win 11 Pro, 1920 x 1200 p, 6000 mAh, Teclado retroiluminado - Gris","370,.49","389,99 €",,"4,5 de 5 estrellas",Amazon,2026-03-30 12:51,370.49,389.99,5.0,2026-03-30 12:51:00,2026,3,30
"ACEMAGIC 15,6 Pulgadas Ordenador Portatil Procesador Ryzen 4300U (Superar N95/N150/3500U/3200U) hasta 3,7 GHz 16 GB RAM DDR4 512 GB SSD Expansión 2 TB, Portátil USB, BT5, WiFi, HDMI, Laptop Oficina","399,.99","571,99 €",,"4,6 de 5 estrellas",Amazon,2026-03-30 12:51,399.99,571.99,30.07,2026-03-30 12:51:00,2026,3,30
"16 Pulgadas Ordenador Portatil Processor N100 (1,0 a 3,4GHz), RAM 16GB SSD 1TB Laptop 2026 Computadora Pc Portatil Notebook/Teclado Completo Retroiluminado/1920x1200P/Webcam","436,.99","459,99 €",,"5,0 de 5 estrellas",Amazon,2026-03-30 12:51,436.99,459.99,5.0,2026-03-30 12:51:00,2026,3,30
"Lenovo IdeaPad Slim 3 Gen 8 – Ordenador Portátil 15.6'' FHD (Intel Core i3-N305, Intel UHD Graphics, 8 GB RAM, 256 GB SSD, Wi-Fi 6, Win 11 Home, Office Trial) Teclado QWERTY Español - Azul Abismo","445,.00","479,00 €",,"4,3 de 5 estrellas",Amazon,2026-03-30 12:51,445.0,479.0,7.1,2026-03-30 12:51:00,2026,3,30
"HP 15-fd0374ns - Ordenador portátil de 15.6"" FHD (Intel N100, 8GB RAM, 256GB SSD, Intel UHD, Windows 11) Plata - Teclado QWERTY Español","449,.00",,,"4,6 de 5 estrellas",Amazon,2026-03-30 12:51,449.0,,,2026-03-30 12:51:00,2026,3,30
"Lenovo IdeaPad Slim 3 Gen 8 - Ordenador Portátil 15.6'' FHD (AMD Ryzen 5 7520U, AMD Radeon 610M Graphics, 16 GB RAM, 512 GB SSD, Wi-Fi 6, Sin Sistema Operativo) Teclado QWERTY Español, Gris Ártico","449,.00",,,"4,9 de 5 estrellas",Amazon,2026-03-30 12:51,449.0,,,2026-03-30 12:51:00,2026,3,30
"HP - Ordenador portátil de 15.6"" FHD (AMD Ryzen 5-7520U, 16 GB RAM, 1TB SSD, AMD Radeon Graphics, Sin Sistema operativo) Plata y Azul - Teclado QWERTY Español","519,.00",,,"3,6 de 5 estrellas",Amazon,2026-03-30 12:51,519.0,,,2026-03-30 12:51:00,2026,3,30
"Lenovo IdeaPad Slim 3 Gen 10 – Ordenador Portátil 15.3"" WUXGA (Intel Core i5-13420H, 16 GB RAM, 512 GB SSD, Gráficos Intel UHD, Wi-Fi 6, Windows 11 Home) Teclado QWERTY Español - Gris Luna","569,.00","679,00 €",,,Amazon,2026-03-30 12:51,569.0,679.0,16.2,2026-03-30 12:51:00,2026,3,30
