nombre,precio_actual,precio_original,descuento,valoracion,plataforma,fecha
"Portátil Lenovo IdeaPad Slim 3 15IRH10 15,3"" Intel Core i7-13620H 16GB 1TB SSD Windows 11 Home",749€,849€,,,PcComponentes,2026-04-20 23:20
Portátil ASUS ExpertBook P1503CVA-S70671 15.6″ Intel Core i5-13420H 16 GB 512GB Gris WiFi 6 UHD Windows 11,529€,599€,,,PcComponentes,2026-04-20 23:20
"ASUS TUF Gaming FX608JMR-RV003 Intel Core i7-14650HX/32GB/1TB SSD/RTX 5060/16""",1.299€,1.599€,,,PcComponentes,2026-04-20 23:20
"Portátil Asus Vivobook 15 F1504VA-BQ305W 15.6"" Intel Core 7 150U 16GB 1TB SSD Intel Graphics Windows 11 Home",699€,749€,,,PcComponentes,2026-04-20 23:20
"Portátil Lenovo IdeaPad Slim 3 15IRH10 15,3"" Intel Core i5-13420H 16GB 1TB SSD Windows 11 Home",649€,699€,,,PcComponentes,2026-04-20 23:20
"Portátil MSI Cyborg 17 B2RWGKG-075XES 17.3"" Intel Core 9 270H 32GB 1TB SSD RTX 5070 QHD RGB",1.629€,2.349€,,,PcComponentes,2026-04-20 23:20
"Portátil HP 15-fd0278ns 15.6"" Intel Core i5-1334U 16GB RAM 512GB SSD FHD Plata Windows 11",599€,649€,,,PcComponentes,2026-04-20 23:20
"Portátil HP 250 G9 15.6"" Intel Celeron N4500 8GB 256GB SSD UHD Graphics FreeDOS","269,99€",428€,,,PcComponentes,2026-04-20 23:20
"2026 Ordenador portátil 16GB RAM, SSD 256GB,15,6 Pulgadas, procesador M3-6Y30 (2,2 GHz), Pantalla FHD 1920x1080 píxeles, cámara Web y Panel táctil, Ideal para Estudiantes y Profesionales","349,.99","999,99 €",,"5,0 de 5 estrellas",Amazon,2026-04-20 23:20
"NAIKLULU 16 Pulgadas Ordenador Pc Portatil RAM 16GB SSD 512GB, Processor N150 (1,2 a 3,6GHz) Laptop 2026 Computadora Portatil, 6000Mah/Teclado Completo Retroiluminado/1920x1200P/Webcam","368,.67","388,07 €",,"4,6 de 5 estrellas",Amazon,2026-04-20 23:20
"NAIKLULU 16 Pulgadas Pc Ordenador Portatil RAM 16GB SSD 1TB, Processor N150 (1,2 a 3,6GHz) Laptop 2026 Notebook Computadora Portatil, 6000Mah/Teclado Completo Retroiluminado/1920x1200P/Webcam","424,.17","469,99 €",,"5,0 de 5 estrellas",Amazon,2026-04-20 23:20
"Ordenador portátil 14 pulgadas Dual-Core hasta 2,6 GHz • 6 GB RAM • 128 GB SSD • UHD portatil • WiFi 5G • Mini-HDMI • Teclado membrana • Diseño sin ventilador • Color plateado • Ratón incluido","205,.99",,,"4,1 de 5 estrellas",Amazon,2026-04-20 23:20
"HP 15-fc0243ns - Ordenador portátil de 15.6"" FHD (AMD Ryzen 7-7730U, 32 GB RAM, 1TB SSD, AMD Radeon Graphics, Windows 11) Plata y Azul - Teclado QWERTY Español","719,.00","799,00 €",,"4,4 de 5 estrellas",Amazon,2026-04-20 23:20
"HP 15-fd0261ns - Ordenador portátil de 15.6"" FHD (Intel N100, 4GB RAM, 128GB UFS, Intel UHD, Windows 11) Plata - Teclado QWERTY Español - Incluye Microsoft 365 Personal 12 Meses","299,.00","349,00 €",,"4,2 de 5 estrellas",Amazon,2026-04-20 23:20
"ASUS Chromebook CX1505CTA - Ordenador Portátil 15.6"" Full HD (Intel N50, 4GB RAM, 128GB eMMC, ChromeOS) QWERTY Funda y ratón incluidos +3 Meses de Google AI Pro con Gemini Pro y 2TB de Almacenamiento","259,.00",,,"4,2 de 5 estrellas",Amazon,2026-04-20 23:20
"BMAX Ordenador Portátil 15.6"" FHD Celeron N95 Upto 3,4 GHz Portatiles 12GB RAM 512GB SSD LPDDR5 Laptop, Win 11 PC Portátil 5G WiFi Notebook BT5.0, USB 3.2x2, Protege el Teclado Español","256,.49","289,99 €",,"4,6 de 5 estrellas",Amazon,2026-04-20 23:20
"ASUS Vivobook 15 F1504VA-BQ128W - Ordenador Portátil 15.6"" Full HD (Windows 11 Home,Intel Core 5 120U, 16GB RAM, 1TB SSD, Graphics,) Azul Tranquilo - Teclado QWERTY español","585,.66","649,00 €",,"4,4 de 5 estrellas",Amazon,2026-04-20 23:20
"acer Aspire Go 15 AG15-42P, Ordenador Portátil 15.6"" Full HD (AMD Ryzen 5 5625U, 16 GB RAM, 512 GB SSD, AMD Radeon Graphics, Windows 11 Home), Plata, Teclado QWERTY Español","499,.00","549,00 €",,"5,0 de 5 estrellas",Amazon,2026-04-20 23:20
"Lenovo IdeaPad Slim 3 Gen 10 – Ordenador Portátil 15.3"" WUXGA (Intel Core i5-13420H, 16 GB RAM, 512 GB SSD, Gráficos Intel UHD, Wi-Fi 6, Windows 11 Home) Teclado QWERTY Español - Gris Luna","599,.00","679,00 €",,"4,7 de 5 estrellas",Amazon,2026-04-20 23:20
"HP 15-fc0240ns - Ordenador portátil de 15.6"" FHD (AMD Ryzen 7-7730U, 32 GB RAM, 1TB SSD, AMD Radeon Graphics, Sin Sistema operativo) Plata - Teclado QWERTY Español","629,.00","699,00 €",,"4,3 de 5 estrellas",Amazon,2026-04-20 23:20
"Ordenador Portátil Ultraligero 15.6"" FHD Core i5-8210Y (hasta 3.6GHz) 24GB RAM 512GB SSD + Ampliable a 1TB WiFi 5 Bluetooth 5.0 HDMI Bisagra 180° Win 11 Pro deal para Estudiantes Teletrabajo y Oficina","369,.99",,,"4,8 de 5 estrellas",Amazon,2026-04-20 23:20
"Lenovo IdeaPad Slim 3 Gen 8 – Ordenador Portátil 15.6'' FHD (Intel Core i3-N305, Intel UHD Graphics, 8 GB RAM, 256 GB SSD, Wi-Fi 6, Win 11 Home, Office Trial) Teclado QWERTY Español - Azul Abismo","449,.00","479,00 €",,"4,4 de 5 estrellas",Amazon,2026-04-20 23:20
"FUNYET Ordenador Portátil, 16 GB de RAM y 256 GB de SSD,Nuevo Laptop de 15,6 Pulgadas de 2026, Pentium Gold 4425Y Portátil,IPS FHD 1920 x 1080,5000 mAh，Teclado numérico，WiFi5","261,.72","275,49 €",,"5,0 de 5 estrellas",Amazon,2026-04-20 23:20
"15.6 Pulgadas Ordenador Portatil, Procesador N95 hasta 3.4 GHz, Portatil con 16GB RAM 512GB SSD, 1920 * 1080 IPS FHD Pantalla Laptop, BT5.0, USB 3.2, HDMI y Tipo C, WIFI5.0","289,.99",,,"4,3 de 5 estrellas",Amazon,2026-04-20 23:20
"Ordenador Portátil 16 Pulgadas, Core i5-8210Y CPU, Win11 Pro PC Portátil 16GB RAM 512GB SSD, Clavier Rétroéclairé, 1080P FHD Pantalla Laptop, (Mini-HDMI+USB3.0+Type-C+Webcan+WIFI5+5800mah Battery)","369,.99",,,"4,9 de 5 estrellas",Amazon,2026-04-20 23:20
"Ordenador Portáti 15,6 Pulgadas, PC Portátil Win 11 8GB RAM 256GB SSD, Laptop con Core M3 6Y30 Procesador, Computadora Portatil Delgada Pantalla FHD abatible de 180° Mini-HDMI 2*USB3.0 WiFi5 BT4.2","299,.99",,,"4,3 de 5 estrellas",Amazon,2026-04-20 23:20
"PC Portátil Win 11, 15.6 Pulgadas Ordenador Portatil 24GB LPDDR4 RAM 512GB SSD, Celeron N5095 CPU, Desbloqueo Huellas Dactilares/Teclado Retroiluminado, 180° Flip IPS Pantalla, Webcam+BT4.2+USB3.0","349,.99",,,"5,0 de 5 estrellas",Amazon,2026-04-20 23:20
"HP EliteBook 840 G6, FHD, Intel Core i5 8265U, 16 GB RAM, 512 GB SSD, Intel UHD Graphics, Windows 11 (Reacondicionado) Bolsa Cybersnap","319,.00",,,"3,5 de 5 estrellas",Amazon,2026-04-20 23:20
"ASUS Vivobook Go 15 E1504FA - Ordenador Portátil 15.6inch Full HD (Windows 11 home, AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, Radeon 610M) Plata fría - teclado QWERTY Español","549,.00",,,"2,9 de 5 estrellas",Amazon,2026-04-20 23:20
"HP - Ordenador portátil de 15.6"" FHD (AMD Ryzen 5-7520U, 16 GB RAM, 1TB SSD, AMD Radeon Graphics, Sin Sistema operativo) Plata y Azul - Teclado QWERTY Español","499,.00","549,00 €",,"3,8 de 5 estrellas",Amazon,2026-04-20 23:20
"2026 Ordenador portátil 15.6 Pulgadas pc portátil 5025U, 8GB RAM 128GB SSD DDR4, Lector Huellas dactilares, 5G WiFi USB 3.0, 1920 x 1080 IPS FHD, 5000 mAh, Teclado Completo retroiluminado/Panel táctil","209,.99",,,"5,0 de 5 estrellas",Amazon,2026-04-20 23:20
"Lenovo IdeaPad Slim 3 Gen 8 – Ordenador Portátil 15.6"" FHD Intel Core i5-13420H, 16 GB RAM, 512 GB SSD, Intel UHD Graphics, Wi-Fi 6, Win 11 Home, Office Trial Teclado QWERTY Español - Gris Ártico","579,.00","679,00 €",,"4,4 de 5 estrellas",Amazon,2026-04-20 23:20
"PINSTONE Ordenador Portátil de 14 Pulgadas Celeron N4000, Computadora Portátiles 6 GB RAM 128 GB SSD, PC Portátiles con 2,4 G/5 G WiFi, Bluetooth, Estudiantil Laptop Larga Vida útil de la Batería.","214,.00",,,"4,8 de 5 estrellas",Amazon,2026-04-20 23:20
"Portátil Samsung Galaxy Book4 NP750XGJ-KG4ES, i7-1355U, 16GB, 1TB SSD, 15,6"", W11",Precio de venta 779 €,Precio original 899 €,,,ElCorteIngles,2026-04-20 23:20
"Portátil Lenovo Yoga Slim 7 14IMH9, Intel Core Ultra 7-155H, 32GB, 1TB SSD, 14"" OLED, W11",Precio de venta 999 €,Precio original 1.199 €,,,ElCorteIngles,2026-04-20 23:20
"Tablet Lenovo Idea Tab 8GB + 128GB, 11"", Wi-Fi + PEN",Precio de venta 199 €,,,,ElCorteIngles,2026-04-20 23:20
"Portátil Gaming HP VICTUS 15-fa2007ns, Intel Core 7-240H, 16GB, 1TB SSD, Nvidia GeForce RTX 5060 8GB, 15,6"", W11",Precio de venta 1.199 €,Precio original 1.399 €,,,ElCorteIngles,2026-04-20 23:20
"Monitor PC 68,5cm (27"") LG MyView Smart Monitor 27U511SA-W, 100 Hz, Full HD",Precio de venta 179 €,Precio original 219 €,,,ElCorteIngles,2026-04-20 23:20
"Impresora multifunción HP OfficeJet Pro 8134e, Fax, Wi-Fi, compatible con Instant Ink","Precio de venta 139,90 €","Precio original 169,90 €",,,ElCorteIngles,2026-04-20 23:20
"Portátil HP OmniBook 7 14-fr0001ns, Intel Core Ultra 5 EVO-225U, 16GB, 1TB SSD, 14"" OLED, W11",Precio de venta 899 €,Precio original 999 €,,,ElCorteIngles,2026-04-20 23:20
"Apple iPad 11"" (2025) A16, Wi-Fi",Precio de venta 359 €,Precio original 379 €,,,ElCorteIngles,2026-04-20 23:20
"Monitor PC Gaming Samsung Odyssey OLED G6 68,5 cm (27"") QHD, 0.03ms, Max 360Hz, FreeSync Premium Pro, 250 nits",Precio de venta 579 €,Precio original 799 €,,,ElCorteIngles,2026-04-20 23:20
"Impresora Multifunción Epson Expression Home XP-2200, Wi-Fi","Precio de venta 60,90 €","Precio original 71,90 €",,,ElCorteIngles,2026-04-20 23:20
"Portátil HP 15-fd1017ns, Intel Core Ultra 7-155H, 32GB, 1TB SSD, 15,6"", W11",Precio de venta 949 €,Precio original 1.049 €,,,ElCorteIngles,2026-04-20 23:20
"All in One HP ENVY Move 24-cs0190ns, i5-1335U, 16GB, 512GB SSD, 23,8"", W11",Precio de venta 1.099 €,Precio original 1.299 €,,,ElCorteIngles,2026-04-20 23:20
