nombre,precio_actual,precio_original,descuento,valoracion,plataforma,fecha
"Portátil Alurin Flex Advance AMD Ryzen 7-5825U 15.6""/ 16GB/500GB/Windows 11 Home","509,99€","644,99€",,,PcComponentes,2026-04-20 23:20
"PcCom Revolt 5060 Intel Core i7-14650HX 16"" /16GB/500GB/Windows Home","1.299,99€","1.799,99€",,,PcComponentes,2026-04-20 23:20
"MSI Cyborg 15 B2RWFKG-201XES Intel Core 7 240H 32GB DDR5 1TB SSD RTX 5060 15.6"" FHD RGB",1.249€,1.999€,,,PcComponentes,2026-04-20 23:20
"Portátil Lenovo Legion 5 15AHP10 15.1"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 OLED Negro",1.349€,1.699€,,,PcComponentes,2026-04-20 23:20
"Portátil Acer Nitro V 15 ANV15-52 15.6"" Intel Core i9-13900H 32GB 1TB RTX 5060",1.199€,1.699€,,,PcComponentes,2026-04-20 23:20
"Portátil Lenovo IdeaPad Slim 3 15AMN8 15,6"" AMD Ryzen 5 7520U 16GB 512GB SSD Azul",469€,499€,,,PcComponentes,2026-04-20 23:20
"Portátil Acer Nitro V 16 AI 16"" AMD Ryzen 7 260 16GB 1TB SSD RTX 5050 Sin sistema operativo",999€,1.149€,,,PcComponentes,2026-04-20 23:20
"Portátil Lenovo Legion 5 15AHP10 15.3"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 Negro",1.249€,1.499€,,,PcComponentes,2026-04-20 23:20
"Portátil Acer Gaming Nitro V 15 ANV15-52 15.6"" Intel Core i9-13900H 32GB 1TB SSD RTX 5050",1.129€,1.499€,,,PcComponentes,2026-04-20 23:20
"Portátil Lenovo IdeaPad Slim 3 15IRH10 15,3"" Intel Core i5-13420H 16GB 1TB SSD Intel UHD Graphics",559€,,,,PcComponentes,2026-04-20 23:20
"Apple Macbook Air Apple M4 10 Núcleos/16 GB/512GB SSD/GPU 10 Núcleos/13.6"" Blanco Estrella",1.219€,1.449€,,,PcComponentes,2026-04-20 23:20
"Apple Macbook Air Apple M4 10 Núcleos/16 GB/256GB SSD/GPU 8 Núcleos/13.6"" Azul Cielo",899€,1.179€,,,PcComponentes,2026-04-20 23:20
Acer Aspire Go 15 AG15-42P-R26T 15.6″ AMD Ryzen 7 5825U 16GB 512GB SSD FHD Wi-Fi 6 Plata,449€,549€,,,PcComponentes,2026-04-20 23:20
"ASUS Vivobook Go 15 E1504FA-BQ2447 AMD Ryzen 5 7520U/16GB/512GB SSD/15.6""","444,99€",499€,,,PcComponentes,2026-04-20 23:20
"Portátil Lenovo LOQ 15IRX10 15.6"" Intel Core i7-13700HX 32GB 1TB SSD RTX 5060 8GB Luna Grey RGB e-Shutter",1.249€,1.499€,,,PcComponentes,2026-04-20 23:20
"Portátil HP Victus 15-fb3030ns 15.6"" AMD Ryzen 5 8645HS 16GB 512GB SSD RTX 4050 6GB Azul",779€,999€,,,PcComponentes,2026-04-20 23:20
"HP OMEN 16-ap0007ns AMD Ryzen AI 7 350 32GB 1TB SSD RTX 5070 8GB 16""",1.429€,1.799€,,,PcComponentes,2026-04-20 23:20
