nombre,precio_actual,precio_original,descuento,valoracion,plataforma,fecha
"Portátil Alurin Flex Advance AMD Ryzen 7-5825U 15.6""/ 16GB/500GB/Windows 11 Home","509,99€","644,99€",,,PcComponentes,2026-04-19 18:09
"PcCom Revolt 5060 Intel Core i7-14650HX 16"" /16GB/500GB/Windows Home","1.299,99€","1.799,99€",,,PcComponentes,2026-04-19 18:09
"MSI Cyborg 15 B2RWFKG-201XES Intel Core 7 240H 32GB DDR5 1TB SSD RTX 5060 15.6"" FHD RGB",1.149€,1.999€,,,PcComponentes,2026-04-19 18:09
"Portátil Lenovo Legion 5 15AHP10 15.1"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 OLED Negro",1.299€,1.699€,,,PcComponentes,2026-04-19 18:09
"Portátil Lenovo IdeaPad Slim 3 15AMN8 15,6"" AMD Ryzen 5 7520U 16GB 512GB SSD Azul",449€,499€,,,PcComponentes,2026-04-19 18:09
"Portátil Lenovo IdeaPad Slim 3 15IRH10 15,3"" Intel Core i5-13420H 16GB 1TB SSD Intel UHD Graphics",539€,579€,,,PcComponentes,2026-04-19 18:09
"Portátil Lenovo Legion 5 15AHP10 15.3"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 Negro",1.199€,1.499€,,,PcComponentes,2026-04-19 18:09
"Apple Macbook Air Apple M4 10 Núcleos/16 GB/256GB SSD/GPU 8 Núcleos/13.6"" Azul Cielo","989,01€",1.179€,,,PcComponentes,2026-04-19 18:09
"Apple Macbook Air Apple M4 10 Núcleos/16 GB/512GB SSD/GPU 10 Núcleos/13.6"" Blanco Estrella",1.219€,1.449€,,,PcComponentes,2026-04-19 18:09
Acer Aspire Go 15 AG15-42P-R26T 15.6″ AMD Ryzen 7 5825U 16GB 512GB SSD FHD Wi-Fi 6 Plata,"469,99€",549€,,,PcComponentes,2026-04-19 18:09
"ASUS Vivobook Go 15 E1504FA-BQ2447 AMD Ryzen 5 7520U/16GB/512GB SSD/15.6""","444,99€",499€,,,PcComponentes,2026-04-19 18:09
"HP OMEN 16-ap0007ns AMD Ryzen AI 7 350 32GB 1TB SSD RTX 5070 8GB 16""",1.399€,1.799€,,,PcComponentes,2026-04-19 18:09
"Portátil HP Victus 15-fb3030ns 15.6"" AMD Ryzen 5 8645HS 16GB 512GB SSD RTX 4050 6GB Azul",779€,999€,,,PcComponentes,2026-04-19 18:09
"Portátil Lenovo IdeaPad Slim 3 15IRH10 15,3"" Intel Core i7-13620H 16GB 1TB SSD Windows 11 Home",749€,849€,,,PcComponentes,2026-04-19 18:09
"Portátil Asus Vivobook 15 F1504VA-BQ305W 15.6"" Intel Core 7 150U 16GB 1TB SSD Intel Graphics Windows 11 Home",699€,749€,,,PcComponentes,2026-04-19 18:09
"Portátil Lenovo IdeaPad Slim 3 15IRH10 15,3"" Intel Core i5-13420H 16GB 1TB SSD Windows 11 Home",639€,699€,,,PcComponentes,2026-04-19 18:09
"Portátil MSI Cyborg 17 B2RWGKG-075XES 17.3"" Intel Core 9 270H 32GB 1TB SSD RTX 5070 QHD RGB",1.599€,2.349€,,,PcComponentes,2026-04-19 18:09
"ASUS TUF Gaming FX608JMR-RV003 Intel Core i7-14650HX/32GB/1TB SSD/RTX 5060/16""",1.299€,1.599€,,,PcComponentes,2026-04-19 18:09
"Portátil HP 15-fd0278ns 15.6"" Intel Core i5-1334U 16GB RAM 512GB SSD FHD Plata Windows 11",559€,649€,,,PcComponentes,2026-04-19 18:09
Portátil ASUS ExpertBook P1503CVA-S70671 15.6″ Intel Core i5-13420H 16 GB 512GB Gris WiFi 6 UHD Windows 11,"593,23€",549€,,,PcComponentes,2026-04-19 18:09
"Portátil HP 15-fd0277ns 15.6"" FHD Intel Core i3-N305 8GB RAM 512GB SSD Windows 11, Azul",429€,428€,,,PcComponentes,2026-04-19 18:09
"Portátil HP 250 G9 15.6"" Intel Celeron N4500 8GB 256GB SSD UHD Graphics FreeDOS","269,99€",1.199€,,,PcComponentes,2026-04-19 18:09
"Apple Macbook Air M4 10 Núcleos/16 GB/256 GB SSD/GPU 8 Núcleos/13.6"" Medianoche",929€,799€,,,PcComponentes,2026-04-19 18:09
"Samsung Galaxy Book4 15 Intel Core i5-1335U/16GB/512GB SSD/15.6""",609€,499€,,,PcComponentes,2026-04-19 18:09
"Portátil Acer Aspire Go 15,6"" AMD Ryzen 5 7430U 8GB 512GB SSD Radeon Graphics Windows 11 Home",429€,2.199€,,,PcComponentes,2026-04-19 18:09
"Portátil 16 pulgadas 2026, 16GB RAM, SSD 1TB, ordenador portátil N150 3,6 GHz, Win 11 Pro, resolución 1920 x 1200 píxeles, 6000 mAh, teclado retroiluminado - Para estudiantes, oficina y negocios","389,.99","999,99 €",,"5,0 de 5 estrellas",Amazon,2026-04-19 18:10
"NAIKLULU 16 Pulgadas Ordenador Pc Portatil RAM 16GB SSD 512GB, Processor N150 (1,2 a 3,6GHz) Laptop 2026 Computadora Portatil, 6000Mah/Teclado Completo Retroiluminado/1920x1200P/Webcam","368,.67","388,07 €",,"4,6 de 5 estrellas",Amazon,2026-04-19 18:10
"NAIKLULU 16 Pulgadas Ordenador Portatil RAM 16GB SSD 512GB, Processor N150 (1,2 a 3,6GHz) Laptop 2026 Pc Portatil Computadora Portatil, 6000Mah/Teclado Completo Retroiluminado/1920x1200P","368,.67","388,07 €",,"4,6 de 5 estrellas",Amazon,2026-04-19 18:10
"Ordenador portátil 14 pulgadas Dual-Core hasta 2,6 GHz • 6 GB RAM • 128 GB SSD • UHD portatil • WiFi 5G • Mini-HDMI • Teclado membrana • Diseño sin ventilador • Color plateado • Ratón incluido","200,.99",,,"3,4 de 5 estrellas",Amazon,2026-04-19 18:10
"HP 15-fc0243ns - Ordenador portátil de 15.6"" FHD (AMD Ryzen 7-7730U, 32 GB RAM, 1TB SSD, AMD Radeon Graphics, Windows 11) Plata y Azul - Teclado QWERTY Español","719,.00","799,00 €",,"4,4 de 5 estrellas",Amazon,2026-04-19 18:10
"HP 15-fd0261ns - Ordenador portátil de 15.6"" FHD (Intel N100, 4GB RAM, 128GB UFS, Intel UHD, Windows 11) Plata - Teclado QWERTY Español - Incluye Microsoft 365 Personal 12 Meses","299,.00","349,00 €",,"4,2 de 5 estrellas",Amazon,2026-04-19 18:10
"ASUS Chromebook CX1505CTA - Ordenador Portátil 15.6"" Full HD (Intel N50, 4GB RAM, 128GB eMMC, ChromeOS) QWERTY Funda y ratón incluidos +3 Meses de Google AI Pro con Gemini Pro y 2TB de Almacenamiento","259,.00",,,"4,2 de 5 estrellas",Amazon,2026-04-19 18:10
"BMAX Ordenador Portátil 15.6"" FHD Celeron N95 Upto 3,4 GHz Portatiles 12GB RAM 512GB SSD LPDDR5 Laptop, Win 11 PC Portátil 5G WiFi Notebook BT5.0, USB 3.2x2, Protege el Teclado Español","256,.49","289,99 €",,"4,6 de 5 estrellas",Amazon,2026-04-19 18:10
"Lenovo IdeaPad Slim 3 Gen 10 – Ordenador Portátil 15.3"" WUXGA (Intel Core i5-13420H, 16 GB RAM, 512 GB SSD, Gráficos Intel UHD, Wi-Fi 6, Windows 11 Home) Teclado QWERTY Español - Gris Luna","599,.00","679,00 €",,"4,7 de 5 estrellas",Amazon,2026-04-19 18:10
"ASUS Vivobook 15 F1504VA-BQ128W - Ordenador Portátil 15.6"" Full HD (Windows 11 Home,Intel Core 5 120U, 16GB RAM, 1TB SSD, Graphics,) Azul Tranquilo - Teclado QWERTY español","585,.66","649,00 €",,"4,4 de 5 estrellas",Amazon,2026-04-19 18:10
